K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses
11,1,128,128,,0.005022941983909684,removal,0,0.30484661182645384,654,mean,GATConv,256,1,50,neighbor,50,150,nearest_neighbors,0.9327917282127031,0.8890243902439025,0.89119804400978,0.8868613138686131,"[16.338441252708435, 15.850744128227234, 15.517857313156128, 15.439192295074463, 15.353257417678833, 14.91147792339325, 14.336618781089783, 14.584550142288208, 14.09813529253006, 13.811881065368652, 13.51246464252472, 13.260934591293335, 12.918872117996216, 12.576888799667358, 12.376047790050507, 11.797654271125793, 11.475270628929138, 10.951050996780396, 10.757679343223572, 10.312703907489777, 9.922430694103241, 9.555866777896881, 9.370820581912994, 8.86953318119049, 8.63450413942337, 8.26120537519455, 7.902942955493927, 7.549895226955414, 7.159685254096985, 6.890110671520233, 6.772828698158264, 6.419738292694092, 6.125255703926086, 5.8794479966163635, 5.608312040567398, 5.338794231414795, 5.2185326516628265, 4.959941536188126, 4.816318720579147, 4.64351299405098, 4.4465413093566895, 4.301655262708664, 4.145336210727692, 4.039781183004379, 3.840240031480789, 3.734232574701309, 3.6189991533756256, 3.4503521621227264, 3.347519338130951, 3.2159584164619446, 3.1422226428985596, 3.102295070886612, 2.936850443482399, 2.862200766801834, 2.7643500715494156, 2.6886771619319916, 2.65051206946373, 2.5596121549606323, 2.5023106187582016, 2.4163277596235275, 2.3177400827407837, 2.2786711752414703, 2.221943899989128, 2.1118147373199463, 2.1270349621772766, 2.0586735159158707, 1.9702094942331314, 1.9444561749696732, 1.896118551492691, 1.8734179884195328, 1.7900895476341248, 1.7732474356889725, 1.7206749767065048, 1.6855428367853165, 1.6699584871530533, 1.6092833280563354, 1.5922353565692902, 1.5569994449615479, 1.5140689611434937, 1.4845982193946838, 1.45269076526165, 1.4127020239830017, 1.4032079875469208, 1.3659077137708664, 1.3252662271261215, 1.2978871166706085, 1.2662420123815536, 1.2544766291975975, 1.2104476168751717, 1.2178737968206406, 1.177882045507431, 1.1796696931123734, 1.140613541007042, 1.1331397742033005, 1.0858044624328613, 1.0752596408128738, 1.0551486909389496, 1.0519104972481728, 1.031086876988411, 1.009345680475235, 0.9999122619628906, 0.9690061211585999, 0.9619838371872902, 0.9399714022874832, 0.9327986091375351, 0.9145630821585655, 0.8969253599643707, 0.885691836476326, 0.8642752766609192, 0.8567272946238518, 0.8440153300762177, 0.8245881125330925, 0.8166050538420677, 0.8084185272455215, 0.7884781956672668, 0.7735753953456879, 0.7672260254621506, 0.7539674118161201, 0.7575424239039421, 0.7303039580583572, 0.722022645175457, 0.7143596075475216, 0.7032668739557266, 0.708996869623661, 0.6875604875385761, 0.662611298263073, 0.6685656756162643, 0.6501033641397953, 0.6389814838767052, 0.6321746110916138, 0.625129658728838, 0.6206308528780937, 0.6040641292929649, 0.600267693400383, 0.5960494950413704, 0.5842895023524761, 0.574029203504324, 0.5706553906202316, 0.5722593441605568, 0.5567282065749168, 0.5491080544888973, 0.5431513264775276, 0.5308128371834755, 0.530678179115057, 0.5190524719655514, 0.5228965580463409, 0.5091080218553543, 0.5037036500871181, 0.49939825758337975, 0.4976012706756592]"
11,1,128,128,,0.005022941983909684,removal,0,0.30484661182645384,114,mean,GATConv,256,1,50,neighbor,50,150,nearest_neighbors,0.9302067946824224,0.8853850818677986,0.8924205378973105,0.8784596871239471,"[14.918872475624084, 14.122209668159485, 14.172188520431519, 13.872852802276611, 13.415629148483276, 13.212148427963257, 13.540972709655762, 13.024725794792175, 12.683256149291992, 12.279926598072052, 12.345150828361511, 12.010424971580505, 11.759747445583344, 11.270103394985199, 10.945908844470978, 10.689984023571014, 10.373025357723236, 9.882194221019745, 9.366082310676575, 9.393736243247986, 9.089859664440155, 8.711402356624603, 8.126330971717834, 7.938506603240967, 7.684472322463989, 7.426287353038788, 7.163688242435455, 6.856579303741455, 6.566109478473663, 6.326787829399109, 5.888441562652588, 5.772839337587357, 5.510270863771439, 5.295153558254242, 5.102167516946793, 4.9055867195129395, 4.771908134222031, 4.522745072841644, 4.374733865261078, 4.184105545282364, 4.062910258769989, 3.9328864216804504, 3.788206070661545, 3.608426034450531, 3.458679646253586, 3.346980959177017, 3.2833014130592346, 3.1717039048671722, 3.0562188923358917, 2.937714070081711, 2.84086973965168, 2.7587002366781235, 2.6738295406103134, 2.5845230370759964, 2.526688128709793, 2.477605566382408, 2.427091419696808, 2.313478708267212, 2.260922208428383, 2.1947652101516724, 2.150209069252014, 2.063350662589073, 2.02679206430912, 1.9578815698623657, 1.9351082891225815, 1.8488973528146744, 1.7921907603740692, 1.7639868259429932, 1.7470282167196274, 1.6822662949562073, 1.6588136702775955, 1.6407199651002884, 1.5930213034152985, 1.5406990945339203, 1.4815746992826462, 1.466139405965805, 1.4353458061814308, 1.4321234002709389, 1.379171960055828, 1.3693315386772156, 1.3274461403489113, 1.2845257222652435, 1.2649773433804512, 1.230506844818592, 1.2222391963005066, 1.1840577945113182, 1.1496484354138374, 1.1483942419290543, 1.1397216394543648, 1.1156240105628967, 1.0916784927248955, 1.0691312551498413, 1.0445580184459686, 1.0012311190366745, 1.0018668696284294, 1.0042391642928123, 0.9581798985600471, 0.9600695446133614, 0.9316829368472099, 0.9229925125837326, 0.9032071009278297, 0.8954489827156067, 0.8811622634530067, 0.8449925780296326, 0.8529884070158005, 0.8396575301885605, 0.8231236040592194, 0.801522932946682, 0.8109845891594887, 0.7822699919342995, 0.7639646306633949, 0.7501304596662521, 0.7540353089570999, 0.7352558597922325, 0.7111774757504463, 0.6966808587312698, 0.6934095025062561, 0.6869396194815636, 0.6842409633100033, 0.6661131456494331, 0.6649297773838043, 0.648280680179596, 0.6345783025026321, 0.6374219283461571, 0.6208170689642429, 0.6189387030899525, 0.604669027030468, 0.6031454987823963, 0.5867484882473946, 0.590886764228344, 0.5785592943429947, 0.5588139817118645, 0.5656532347202301, 0.5501723140478134, 0.555993840098381, 0.5372057929635048, 0.5323994792997837, 0.5265003517270088, 0.5215102471411228, 0.5105983875691891, 0.5020671263337135, 0.4932478182017803, 0.4895762875676155, 0.4810282438993454, 0.4789756089448929, 0.47350820526480675, 0.46363280713558197, 0.462264034897089, 0.4580572172999382, 0.45092154666781425]"
11,1,128,128,,0.005022941983909684,removal,0,0.30484661182645384,25,mean,GATConv,256,1,50,neighbor,50,150,nearest_neighbors,0.9283604135893648,0.879950495049505,0.8691931540342298,0.8909774436090225,"[14.309627056121826, 13.689439177513123, 13.419410228729248, 13.225974917411804, 13.22420608997345, 13.117158651351929, 13.208825707435608, 12.750026941299438, 12.149482607841492, 11.94530439376831, 11.720673382282257, 11.271200001239777, 11.170173943042755, 11.101196825504303, 10.57006847858429, 10.34025228023529, 9.827558636665344, 9.632898926734924, 9.536539018154144, 9.087224125862122, 8.736478328704834, 8.391611695289612, 8.100463390350342, 7.777777791023254, 7.459725081920624, 7.183366358280182, 6.996425151824951, 6.5805312395095825, 6.32378751039505, 6.089488446712494, 5.833556115627289, 5.701710551977158, 5.355912566184998, 5.186684221029282, 5.021972715854645, 4.7792211174964905, 4.604622006416321, 4.501463830471039, 4.248759984970093, 4.1379594802856445, 3.9436891078948975, 3.835931032896042, 3.7182872593402863, 3.548500746488571, 3.4277366995811462, 3.32035094499588, 3.2246895730495453, 3.1620119512081146, 3.033756524324417, 2.866065502166748, 2.7790578454732895, 2.676197797060013, 2.646397575736046, 2.5077815502882004, 2.479694351553917, 2.4041183441877365, 2.3145730793476105, 2.2808473110198975, 2.2040339708328247, 2.1644265055656433, 2.0892807990312576, 2.018550544977188, 1.9479297995567322, 1.9035649001598358, 1.8749215602874756, 1.8586094379425049, 1.7801416218280792, 1.7287107408046722, 1.6919069737195969, 1.6370543241500854, 1.619150996208191, 1.5965450257062912, 1.5368302762508392, 1.5305867344141006, 1.500316247344017, 1.4407467991113663, 1.411832071840763, 1.3729850053787231, 1.3466277718544006, 1.2993251606822014, 1.2792738899588585, 1.2767262533307076, 1.2393126338720322, 1.2069518268108368, 1.1994400769472122, 1.16035857796669, 1.1590766608715057, 1.1313130408525467, 1.0927712321281433, 1.0876681208610535, 1.0594339221715927, 1.036292627453804, 1.013698399066925, 0.9969416260719299, 0.988523043692112, 0.9627013802528381, 0.9552881047129631, 0.9047551304101944, 0.9207013696432114, 0.8978547006845474, 0.8748909085988998, 0.8622078076004982, 0.8448958620429039, 0.8641061708331108, 0.8226668983697891, 0.8180444985628128, 0.8017693907022476, 0.7877128943800926, 0.7760679870843887, 0.7546118721365929, 0.7378483191132545, 0.7395268157124519, 0.7283250652253628, 0.7186440527439117, 0.7057754099369049, 0.6976629681885242, 0.6853435039520264, 0.6680762097239494, 0.6472327560186386, 0.6486642919480801, 0.658724706619978, 0.6175766587257385, 0.625937357544899, 0.6176515705883503, 0.6147051341831684, 0.5937908291816711, 0.5968373641371727, 0.588167317211628, 0.5683476887643337, 0.5703782550990582, 0.5522733815014362, 0.5477519147098064, 0.540131714195013, 0.5368906706571579, 0.5298632010817528, 0.522486824542284, 0.5200592763721943, 0.5043307170271873, 0.5017548389732838, 0.4922799654304981, 0.48714790865778923, 0.4827846400439739, 0.4809672050178051, 0.4678894877433777, 0.4614160917699337, 0.45455480739474297, 0.45584844052791595, 0.45651014894247055, 0.4353148937225342, 0.4369521848857403]"
11,1,128,128,,0.005022941983909684,removal,0,0.30484661182645384,759,mean,GATConv,256,1,50,neighbor,50,150,nearest_neighbors,0.9302067946824224,0.8839779005524862,0.8801955990220048,0.8877928483353884,"[14.383604049682617, 14.076821565628052, 14.016165852546692, 13.650383591651917, 13.609370827674866, 13.464389562606812, 13.041912317276001, 12.986835956573486, 12.623494029045105, 12.19555652141571, 11.81629741191864, 11.603682398796082, 11.573891401290894, 11.262698411941528, 10.815825641155243, 10.395283281803131, 10.14804983139038, 9.953558564186096, 9.594951331615448, 9.159243822097778, 8.908809125423431, 8.564415574073792, 8.376998484134674, 7.904200971126556, 7.55107444524765, 7.268311619758606, 6.879524409770966, 6.639713525772095, 6.44061952829361, 6.159058213233948, 5.954825401306152, 5.724336624145508, 5.4703115820884705, 5.208842784166336, 5.009667217731476, 4.85426327586174, 4.67889204621315, 4.524635165929794, 4.332044243812561, 4.115818619728088, 4.068344086408615, 3.8290935456752777, 3.748531013727188, 3.5577122271060944, 3.4494963586330414, 3.3190014362335205, 3.261105716228485, 3.0842384696006775, 2.966295138001442, 2.917189747095108, 2.8855341970920563, 2.7099571228027344, 2.61471363902092, 2.5531534552574158, 2.4614360630512238, 2.3950289487838745, 2.314296081662178, 2.2809130549430847, 2.1976563036441803, 2.1534252911806107, 2.1170813739299774, 2.071546107530594, 2.008084714412689, 1.9836938381195068, 1.8808243423700333, 1.8186427056789398, 1.820192962884903, 1.7483481913805008, 1.6963354498147964, 1.6385067403316498, 1.6227544248104095, 1.587708555161953, 1.5527592301368713, 1.4957512319087982, 1.4876421764492989, 1.4637307226657867, 1.4109541103243828, 1.415312722325325, 1.3412495478987694, 1.3213202729821205, 1.2860089242458344, 1.2866643592715263, 1.2358419969677925, 1.2354237586259842, 1.182480551302433, 1.1666226536035538, 1.1584339439868927, 1.1256758719682693, 1.0905526280403137, 1.076948530972004, 1.062665730714798, 1.0421648547053337, 1.0261362046003342, 1.0066514015197754, 0.9905156716704369, 0.9858015775680542, 0.944233275949955, 0.9320292621850967, 0.9219173938035965, 0.8993494138121605, 0.8862045854330063, 0.8760514780879021, 0.8635710030794144, 0.8527171090245247, 0.8241482675075531, 0.8158568143844604, 0.7940009236335754, 0.7794943377375603, 0.7651942074298859, 0.7743539176881313, 0.7457980960607529, 0.738132044672966, 0.7335545048117638, 0.7206345945596695, 0.7125849090516567, 0.693968128412962, 0.6932146064937115, 0.6725501790642738, 0.6564590930938721, 0.6505296640098095, 0.6489018276333809, 0.6349747329950333, 0.6381362602114677, 0.6244755499064922, 0.6097980923950672, 0.6115137487649918, 0.591075923293829, 0.5850279703736305, 0.5762055665254593, 0.5738935135304928, 0.5561692640185356, 0.5510917566716671, 0.5532624498009682, 0.5349801070988178, 0.5405548810958862, 0.5292028859257698, 0.5160319097340107, 0.515063937753439, 0.5034199506044388, 0.5051320977509022, 0.4908163659274578, 0.4845588654279709, 0.4755389392375946, 0.4781489111483097, 0.46816032379865646, 0.4628743678331375, 0.45816731452941895, 0.4470459222793579, 0.44252515584230423, 0.4419419728219509]"
11,1,128,128,,0.005022941983909684,removal,0,0.30484661182645384,281,mean,GATConv,256,1,50,neighbor,50,150,nearest_neighbors,0.9272525849335302,0.8830860534124629,0.9095354523227384,0.8581314878892734,"[14.014180898666382, 13.937672972679138, 13.680084705352783, 13.53364634513855, 13.087581157684326, 12.959427833557129, 12.640034794807434, 12.540743470191956, 12.186708688735962, 11.850203931331635, 11.475423455238342, 11.567712783813477, 11.18113625049591, 10.6845183968544, 10.539039254188538, 10.16688722372055, 9.93361747264862, 9.392320215702057, 9.313802421092987, 8.620845019817352, 8.716317176818848, 8.174217164516449, 7.888195753097534, 7.528168559074402, 7.275512635707855, 7.0320669412612915, 6.714392423629761, 6.61924946308136, 6.110671579837799, 6.072030961513519, 5.736221373081207, 5.464040398597717, 5.308518320322037, 5.069569945335388, 4.845782607793808, 4.679259479045868, 4.543874680995941, 4.3706094622612, 4.249225437641144, 4.057730823755264, 3.915078103542328, 3.744095891714096, 3.6900877952575684, 3.4936118721961975, 3.3850641548633575, 3.2748649418354034, 3.2091964185237885, 3.0617306530475616, 2.97359898686409, 2.868583604693413, 2.7837978899478912, 2.6898818761110306, 2.637880712747574, 2.533412367105484, 2.463209941983223, 2.4213845878839493, 2.333453580737114, 2.22089022397995, 2.234161153435707, 2.147187054157257, 2.0714566707611084, 2.058239310979843, 1.9694430083036423, 1.9346500486135483, 1.9219269454479218, 1.8453088253736496, 1.7992611229419708, 1.7394547760486603, 1.694896787405014, 1.6382744908332825, 1.600204810500145, 1.567343458533287, 1.549849271774292, 1.5075149908661842, 1.4428488165140152, 1.4357281252741814, 1.4065206572413445, 1.3790480196475983, 1.3412275165319443, 1.3391015082597733, 1.2902867794036865, 1.2693026140332222, 1.242147721350193, 1.207534834742546, 1.2122227400541306, 1.1524049937725067, 1.1477206498384476, 1.1210364401340485, 1.100535087287426, 1.0853763073682785, 1.0619122758507729, 1.0511820018291473, 1.0164665654301643, 0.9953567907214165, 0.9863917529582977, 0.9757425412535667, 0.9418423026800156, 0.9458744749426842, 0.9192715436220169, 0.9061335697770119, 0.8929709643125534, 0.8521961271762848, 0.8617222979664803, 0.8517637625336647, 0.823490709066391, 0.8003818914294243, 0.8250033780932426, 0.7894329130649567, 0.789779543876648, 0.7719731740653515, 0.7619359977543354, 0.7403509207069874, 0.7239147573709488, 0.7227893099188805, 0.698329970240593, 0.6974845714867115, 0.6947765238583088, 0.6647563986480236, 0.6564720757305622, 0.6573619022965431, 0.6418883204460144, 0.6364264003932476, 0.6252084821462631, 0.6271752901375294, 0.6172605156898499, 0.6020020619034767, 0.5857696644961834, 0.595779549330473, 0.5785804763436317, 0.56940957903862, 0.562383372336626, 0.565704483538866, 0.5531637966632843, 0.5407302789390087, 0.541480042040348, 0.5303045473992825, 0.5166176147758961, 0.5152781121432781, 0.5012563429772854, 0.4943874180316925, 0.4932551607489586, 0.495784979313612, 0.48438340425491333, 0.4723721705377102, 0.463386595249176, 0.46323244273662567, 0.4490833505988121, 0.45464347675442696, 0.44677233695983887, 0.43095748499035835]"
