K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses
4,1,128,256,,0.004073042593292407,removal,0,0.2624823574901621,654,mean,GATConv,256,1,100,neighbor,25,100,nearest_neighbors,0.9427621861152142,0.9074626865671642,0.9290953545232273,0.8868144690781797,"[10.643203020095825, 10.123550355434418, 9.86187744140625, 9.776484966278076, 9.471613049507141, 9.304494619369507, 9.04406601190567, 8.720261752605438, 8.454668462276459, 8.329809606075287, 8.09596711397171, 7.8340431451797485, 7.68478137254715, 7.398430526256561, 7.266836881637573, 6.986552715301514, 6.933606863021851, 6.684797286987305, 6.439764678478241, 6.219069182872772, 6.071400225162506, 5.8870972990989685, 5.68539571762085, 5.436539828777313, 5.309997141361237, 5.168649822473526, 5.031269013881683, 4.883626818656921, 4.748687505722046, 4.572872281074524, 4.4608959555625916, 4.336485743522644, 4.1497776210308075, 4.024830877780914, 4.009070813655853, 3.8676706850528717, 3.7665692269802094, 3.638361394405365, 3.5284255146980286, 3.4588349163532257, 3.3457084000110626, 3.3074596524238586, 3.1427988708019257, 3.0610285103321075, 3.0228101313114166, 2.911831647157669, 2.846485435962677, 2.736688017845154, 2.690180778503418, 2.638856440782547, 2.565542981028557, 2.49721260368824, 2.4679502844810486, 2.4296435862779617, 2.3521309792995453, 2.2837433367967606, 2.2471184581518173, 2.186881184577942, 2.114578068256378, 2.0689457952976227, 2.0374793261289597, 1.9867347329854965, 1.9657087922096252, 1.8928580284118652, 1.8627953231334686, 1.8259257525205612, 1.7839751094579697, 1.773001790046692, 1.7235622555017471, 1.6687971353530884, 1.641346663236618, 1.6227778196334839, 1.5997028052806854, 1.5648005306720734, 1.5362075865268707, 1.510092407464981, 1.4626701548695564, 1.4472059532999992, 1.429716520011425, 1.3731666207313538, 1.3756552338600159, 1.3164901435375214, 1.3036702647805214, 1.2919488474726677, 1.2696227729320526, 1.2356999590992928, 1.2161486372351646, 1.202490195631981, 1.1567453742027283, 1.1634398326277733, 1.138785496354103, 1.1154673099517822, 1.1115349754691124, 1.093320332467556, 1.0723785385489464, 1.0609183311462402, 1.0374490022659302, 1.0086743161082268, 0.9916919246315956, 0.9971313402056694]"
4,1,128,256,,0.004073042593292407,removal,0,0.2624823574901621,114,mean,GATConv,256,1,100,neighbor,25,100,nearest_neighbors,0.9464549483013294,0.9118541033434651,0.9168704156479217,0.9068923821039904,"[9.772644937038422, 8.943504691123962, 8.72858202457428, 8.71898901462555, 8.408039212226868, 8.36983209848404, 8.04066514968872, 7.953232169151306, 7.592872619628906, 7.359418988227844, 7.0734975934028625, 7.056780517101288, 6.850941240787506, 6.655413329601288, 6.430211424827576, 6.222470641136169, 6.146674692630768, 5.956067740917206, 5.773933976888657, 5.593589782714844, 5.373733103275299, 5.218149334192276, 5.101662665605545, 4.941356509923935, 4.796587407588959, 4.687330037355423, 4.430368781089783, 4.355946034193039, 4.184600085020065, 4.138513535261154, 3.929898113012314, 3.863508850336075, 3.792510837316513, 3.671327590942383, 3.599386841058731, 3.4594768285751343, 3.3853946924209595, 3.2026866674423218, 3.1556169986724854, 3.0885940492153168, 2.9770061373710632, 2.903698205947876, 2.837655872106552, 2.7811248898506165, 2.682054042816162, 2.6823327243328094, 2.5206660628318787, 2.521634116768837, 2.4654847979545593, 2.367501989006996, 2.2860996574163437, 2.259299099445343, 2.159841403365135, 2.1524528563022614, 2.127755731344223, 2.057174026966095, 2.0035530030727386, 1.9628051966428757, 1.899872437119484, 1.85439895093441, 1.8456691801548004, 1.7821000069379807, 1.7227503955364227, 1.7089218199253082, 1.6854025721549988, 1.6250218749046326, 1.5964681506156921, 1.5867116749286652, 1.5524816364049911, 1.5099472850561142, 1.5052209347486496, 1.448279157280922, 1.4308159574866295, 1.399313859641552, 1.352071262896061, 1.3450159579515457, 1.3014628738164902, 1.2924559265375137, 1.2583776339888573, 1.263276755809784, 1.2301213517785072, 1.1942334920167923, 1.184605948626995, 1.1729062050580978, 1.1302195489406586, 1.1268103942275047, 1.122411772608757, 1.0886112228035927, 1.0605488568544388, 1.0569327101111412, 1.0101273730397224, 1.0098851323127747, 0.9882349371910095, 0.9902092665433884, 0.9579213634133339, 0.9397778585553169, 0.9271944314241409, 0.90152308344841, 0.9062053337693214, 0.8846082538366318]"
4,1,128,256,,0.004073042593292407,removal,0,0.2624823574901621,25,mean,GATConv,256,1,100,neighbor,25,100,nearest_neighbors,0.9372230428360414,0.8973429951690821,0.9083129584352079,0.8866348448687351,"[9.311564803123474, 8.80488497018814, 8.497184216976166, 8.324735164642334, 8.035017192363739, 7.957644701004028, 7.696249842643738, 7.604057610034943, 7.225895702838898, 7.125555217266083, 6.921536207199097, 6.839167594909668, 6.7094228863716125, 6.379453480243683, 6.26073694229126, 6.016911864280701, 5.7490390837192535, 5.703951328992844, 5.55887907743454, 5.354914367198944, 5.199455887079239, 5.050650775432587, 4.834876596927643, 4.617995053529739, 4.521814256906509, 4.51210355758667, 4.294240564107895, 4.146713465452194, 4.108471900224686, 3.9142192900180817, 3.8374184668064117, 3.6917087733745575, 3.62275967001915, 3.545614629983902, 3.4368207156658173, 3.3656120598316193, 3.2005918622016907, 3.1459937691688538, 3.1029703617095947, 2.9870567321777344, 2.9140519201755524, 2.795762360095978, 2.7373283207416534, 2.619485527276993, 2.617362231016159, 2.475644439458847, 2.4363492280244827, 2.380070447921753, 2.3361528515815735, 2.2520771473646164, 2.2406542748212814, 2.2029789686203003, 2.091596096754074, 2.0727105736732483, 2.0359259247779846, 1.9807897508144379, 1.923447772860527, 1.8954978436231613, 1.8764424622058868, 1.785408303141594, 1.7493556886911392, 1.7196583151817322, 1.703391119837761, 1.6368959546089172, 1.6270605474710464, 1.5627646297216415, 1.539450690150261, 1.5296811014413834, 1.4987136274576187, 1.4623629376292229, 1.4359824433922768, 1.3948548883199692, 1.3526099026203156, 1.348372645676136, 1.3259100019931793, 1.276001863181591, 1.2458862662315369, 1.246089406311512, 1.2056744396686554, 1.2208058536052704, 1.1887580677866936, 1.1468708589673042, 1.138111524283886, 1.1074486523866653, 1.0746440514922142, 1.0616854205727577, 1.058411531150341, 1.0247285515069962, 1.000561736524105, 0.9992434680461884, 0.9883020371198654, 0.9469705075025558, 0.9461414664983749, 0.927857518196106, 0.9243676662445068, 0.9188527390360832, 0.8936646953225136, 0.888805016875267, 0.8566613718867302, 0.8508503139019012]"
4,1,128,256,,0.004073042593292407,removal,0,0.2624823574901621,759,mean,GATConv,256,1,100,neighbor,25,100,nearest_neighbors,0.946824224519941,0.912621359223301,0.9193154034229829,0.9060240963855422,"[9.642945408821106, 8.929495632648468, 8.680799126625061, 8.436590552330017, 8.232559859752655, 8.069814920425415, 8.00704538822174, 7.813586473464966, 7.656124293804169, 7.466156303882599, 7.232951760292053, 6.942357957363129, 6.829981327056885, 6.533305287361145, 6.373551547527313, 6.211414158344269, 5.911670297384262, 5.870805740356445, 5.725177228450775, 5.526456505060196, 5.348190814256668, 5.217774927616119, 5.074451506137848, 4.862167865037918, 4.783749848604202, 4.541552126407623, 4.446597069501877, 4.3102752566337585, 4.230098009109497, 4.068988800048828, 3.947986602783203, 3.8802123069763184, 3.7656570076942444, 3.646190971136093, 3.475836992263794, 3.41575089097023, 3.2974325716495514, 3.2302305102348328, 3.1116803586483, 3.041427254676819, 2.967552959918976, 2.883157268166542, 2.782247081398964, 2.7726615518331528, 2.633046582341194, 2.6200092285871506, 2.52175410091877, 2.4547857493162155, 2.3996147364377975, 2.3195193111896515, 2.302950143814087, 2.2234626561403275, 2.192760616540909, 2.1121360808610916, 2.0600245743989944, 2.0331450700759888, 1.9840147346258163, 1.9254447370767593, 1.8506461828947067, 1.8345104604959488, 1.8240339010953903, 1.763538271188736, 1.7576943188905716, 1.7041079998016357, 1.6551482826471329, 1.6265174597501755, 1.5939599871635437, 1.5896463692188263, 1.5332945138216019, 1.4887414276599884, 1.4593127816915512, 1.4286882877349854, 1.4148145616054535, 1.3733867034316063, 1.3584047332406044, 1.332068309187889, 1.3010542467236519, 1.2903466895222664, 1.2591747418045998, 1.2375213950872421, 1.2042520716786385, 1.1896974444389343, 1.15174450725317, 1.1457415223121643, 1.1453843861818314, 1.1123539134860039, 1.0817706137895584, 1.047673225402832, 1.0478249788284302, 1.036002404987812, 1.0289508402347565, 1.008678637444973, 0.9746708199381828, 0.9666026085615158, 0.934443898499012, 0.9282695725560188, 0.9119931682944298, 0.9009792432188988, 0.8772254511713982, 0.8599676564335823]"
4,1,128,256,,0.004073042593292407,removal,0,0.2624823574901621,281,mean,GATConv,256,1,100,neighbor,25,100,nearest_neighbors,0.9519940915805022,0.921968787515006,0.9388753056234719,0.9056603773584906,"[8.962782680988312, 8.5640007853508, 8.287913084030151, 8.207032561302185, 7.861334919929504, 7.872903227806091, 7.562425196170807, 7.2850728034973145, 7.2337453961372375, 6.992361843585968, 6.850273489952087, 6.409162640571594, 6.295980125665665, 6.276217877864838, 6.072839081287384, 5.838292211294174, 5.790650188922882, 5.494795739650726, 5.295602798461914, 5.170871555805206, 5.126486450433731, 4.914341568946838, 4.761277049779892, 4.651907861232758, 4.496230453252792, 4.338438302278519, 4.295953273773193, 4.145787000656128, 3.9415530264377594, 3.873950034379959, 3.6956875026226044, 3.6360451579093933, 3.534943073987961, 3.420385420322418, 3.3591193556785583, 3.203789085149765, 3.134035900235176, 3.0470161736011505, 2.9735393673181534, 2.870991587638855, 2.806157633662224, 2.722079649567604, 2.681230813264847, 2.5761882215738297, 2.489997997879982, 2.4407437443733215, 2.404591143131256, 2.349326968193054, 2.247145727276802, 2.1882226169109344, 2.173958897590637, 2.1633727699518204, 2.08030004799366, 2.0319283604621887, 1.9650953263044357, 1.9326645284891129, 1.9014236330986023, 1.8417031168937683, 1.797872632741928, 1.7746471762657166, 1.7073638141155243, 1.6856698244810104, 1.6434265226125717, 1.6150825023651123, 1.5649181604385376, 1.5208053886890411, 1.5485449433326721, 1.4869473576545715, 1.4498172253370285, 1.4305394887924194, 1.4002015516161919, 1.3653127551078796, 1.3610784262418747, 1.3484381139278412, 1.2884917482733727, 1.2598626613616943, 1.242601789534092, 1.1972038969397545, 1.2029903158545494, 1.162937231361866, 1.1581405326724052, 1.1108269467949867, 1.1317253187298775, 1.0882791131734848, 1.0474169179797173, 1.0637772008776665, 1.0401524007320404, 1.0216383710503578, 0.9911739453673363, 0.989483654499054, 0.9341248124837875, 0.9428023844957352, 0.9354526251554489, 0.9284306094050407, 0.8869484812021255, 0.8917596414685249, 0.8989100158214569, 0.864608645439148, 0.8515861555933952, 0.8381756693124771]"
