alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,33,2,256,256,,0,0.5,0.2817371628893469,0.2619668367892408,1,sum,1,0.9217134416543574,0.8739595719381689,0.8985330073349633,0.8506944444444444
0.5,33,2,256,256,,0,0.5,0.2817371628893469,0.2619668367892408,2,sum,1,0.9361152141802068,0.8936693300553166,0.8887530562347188,0.8986402966625463
0.5,33,2,256,256,,0,0.5,0.2817371628893469,0.2619668367892408,3,sum,1,0.9235598227474151,0.8771513353115727,0.9034229828850856,0.8523644752018454
0.5,33,2,256,256,,0,0.5,0.2817371628893469,0.2619668367892408,4,sum,1,0.9213441654357459,0.8719182200841852,0.8863080684596577,0.8579881656804734
0.5,33,2,256,256,,0,0.5,0.2817371628893469,0.2619668367892408,5,sum,1,0.9239290989660266,0.8759036144578313,0.8887530562347188,0.8634204275534442
