K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
18,2,256,256,,0.005,removal,0,0.24760985587096143,654,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.652465581893921, 3.5225625038146973, 3.658963918685913, 3.490488052368164, 3.6056874990463257, 3.6669586896896362, 3.4802258014678955, 3.477226972579956, 3.5620126724243164, 3.4543060064315796, 3.4058185815811157, 3.4997406005859375, 3.4891897439956665, 3.581962823867798, 3.5971291065216064, 3.513480067253113, 3.4322197437286377, 3.492403507232666, 3.538088083267212, 3.458810329437256, 3.5330744981765747, 3.469123601913452, 3.4630496501922607, 3.506893754005432, 3.425869107246399, 3.4764227867126465, 3.334713935852051, 3.53318452835083, 3.3783233165740967, 3.3301295042037964, 3.5268887281417847, 3.392078399658203, 3.537615656852722, 3.399184823036194, 3.4038002490997314, 3.4011270999908447, 3.3446240425109863, 3.331273078918457, 3.2786210775375366, 3.3654602766036987, 3.3594576120376587, 3.2706438302993774, 3.148762822151184, 3.2052040100097656, 3.369857907295227, 3.231759786605835, 3.473369836807251, 3.179241895675659, 3.2943116426467896, 3.370547294616699]",0.941278816876903,0.8331273176761433,0.823960880195599,0.8425
18,2,256,256,,0.005,removal,0,0.24760985587096143,114,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.4154558181762695, 3.3598268032073975, 3.2839810848236084, 3.4549511671066284, 3.167109251022339, 3.2357159852981567, 3.3433059453964233, 3.215048670768738, 3.351273775100708, 3.3363888263702393, 3.42933452129364, 3.343210458755493, 3.240633726119995, 3.229816436767578, 3.39724063873291, 3.3119707107543945, 3.0700130462646484, 3.1822677850723267, 3.1950623989105225, 3.19130802154541, 3.1740976572036743, 3.1540147066116333, 3.2440460920333862, 3.2634085416793823, 3.176727771759033, 3.1639293432235718, 3.2413047552108765, 3.1104646921157837, 3.2467838525772095, 3.217089295387268, 3.2040737867355347, 3.040628671646118, 3.1073741912841797, 3.0254805088043213, 3.1955655813217163, 3.148430824279785, 3.0770896673202515, 3.053805112838745, 3.0252121686935425, 3.16192889213562, 3.104103446006775, 2.9498013257980347, 2.949682116508484, 3.0594078302383423, 3.131589412689209, 3.039785385131836, 2.9706003665924072, 3.130955457687378, 3.0659855604171753, 2.979696273803711]",0.9321444106133101,0.805,0.7872860635696821,0.8235294117647058
18,2,256,256,,0.005,removal,0,0.24760985587096143,25,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.210633397102356, 3.08208167552948, 3.346484065055847, 3.3414218425750732, 3.058555483818054, 3.171560764312744, 3.3673731088638306, 3.285180449485779, 3.138555884361267, 3.249796152114868, 3.1377676725387573, 3.1689341068267822, 3.238905906677246, 3.277788996696472, 3.0871384143829346, 3.357693672180176, 3.115169882774353, 3.112834095954895, 3.055168867111206, 3.1891103982925415, 3.14889395236969, 3.189304828643799, 3.0733048915863037, 3.043583631515503, 2.9155430793762207, 3.0270761251449585, 3.089993476867676, 3.019610285758972, 3.145357131958008, 3.0872691869735718, 3.1347568035125732, 3.083483099937439, 3.070653557777405, 3.0203365087509155, 2.983256697654724, 3.1113548278808594, 3.071062445640564, 3.1056268215179443, 2.986029267311096, 3.007134795188904, 2.9717317819595337, 3.0024116039276123, 2.8987350463867188, 2.928884744644165, 2.9193551540374756, 2.9312397241592407, 2.9077563285827637, 2.933591365814209, 2.998244524002075, 2.936882734298706]",0.9190952588081774,0.7801418439716312,0.8068459657701712,0.7551487414187643
