K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
17,2,256,256,,0.005,removal,0,0.238436,654,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.467645764350891, 3.4052212238311768, 3.3629313707351685, 3.251286745071411, 3.4411739110946655, 3.5424628257751465, 3.567304849624634, 3.503188133239746, 3.477994680404663, 3.517744541168213, 3.4270013570785522, 3.330157518386841, 3.485469698905945, 3.4076521396636963, 3.347989797592163, 3.3142272233963013, 3.46156108379364, 3.45064914226532, 3.431216835975647, 3.312380313873291, 3.274210810661316, 3.184350371360779, 3.291330337524414, 3.3042829036712646, 3.307874321937561, 3.211653232574463, 3.3177831172943115, 3.3738696575164795, 3.1446536779403687, 3.2402448654174805, 3.223549008369446, 3.192809581756592, 3.264248013496399, 3.2416775226593018, 3.2976248264312744, 3.3679710626602173, 3.253522038459778, 3.291964292526245, 3.200049638748169, 3.2268855571746826, 3.187824010848999, 3.187410831451416, 3.0663318634033203, 3.096783995628357, 3.0734777450561523, 3.0930923223495483, 3.203694701194763, 3.134190320968628, 3.1163463592529297, 3.204316258430481]",0.9434536755110918,0.8337595907928389,0.7970660146699267,0.8739946380697051
17,2,256,256,,0.005,removal,0,0.238436,114,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.4076642990112305, 3.26926851272583, 3.2911832332611084, 3.2181910276412964, 3.3229265213012695, 3.2852139472961426, 3.1510303020477295, 3.1536554098129272, 3.192474126815796, 3.2144657373428345, 3.30432391166687, 3.2994961738586426, 3.366551160812378, 3.2467488050460815, 3.1661012172698975, 3.204358458518982, 3.261094093322754, 3.276982545852661, 3.207031488418579, 3.284412980079651, 3.1873741149902344, 3.221755862236023, 3.17124080657959, 3.1430165767669678, 3.065248727798462, 3.2312912940979004, 3.229154586791992, 3.1877304315567017, 3.2654201984405518, 3.187248945236206, 3.064017176628113, 3.0991655588150024, 3.2609153985977173, 3.039106249809265, 3.0632342100143433, 3.063539147377014, 3.127001166343689, 3.0574365854263306, 3.020943284034729, 2.977271556854248, 3.032693386077881, 3.0150526762008667, 3.1757973432540894, 3.029969811439514, 3.005873918533325, 3.0361005067825317, 2.969534993171692, 2.9929264783859253, 3.0047003030776978, 2.9547314643859863]",0.9273597216180949,0.795593635250918,0.7946210268948656,0.7965686274509803
17,2,256,256,,0.005,removal,0,0.238436,25,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.459643840789795, 3.45160710811615, 3.6282713413238525, 3.547365665435791, 3.437779188156128, 3.3941478729248047, 3.468142509460449, 3.3403700590133667, 3.382745623588562, 3.4237483739852905, 3.3898812532424927, 3.1529029607772827, 3.2579641342163086, 3.2554962635040283, 3.384658098220825, 3.272678017616272, 3.385703444480896, 3.310640811920166, 3.2550485134124756, 3.16302752494812, 3.3418370485305786, 3.267007350921631, 3.407675862312317, 3.33958101272583, 3.286593437194824, 3.323723793029785, 3.200959324836731, 3.230883836746216, 3.1745858192443848, 3.1551249027252197, 3.2433793544769287, 3.312596321105957, 3.3326005935668945, 3.2476073503494263, 3.142555356025696, 3.1364595890045166, 3.186900496482849, 3.2726259231567383, 3.1471608877182007, 3.217329263687134, 3.0230129957199097, 3.001040816307068, 3.044051170349121, 3.0905327796936035, 3.1114487648010254, 3.184839963912964, 3.216966986656189, 3.0497173070907593, 3.0271317958831787, 3.0644129514694214]",0.9308394954327969,0.7989886219974716,0.7726161369193154,0.8272251308900523
