K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,2,16,1,,0.005,removal,0,0.18009008335674812,654,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5000396966934204, 0.48048901557922363, 0.45930832624435425, 0.4348054528236389, 0.40853196382522583, 0.3815195560455322, 0.35423743724823, 0.3269749879837036, 0.300201952457428, 0.27437543869018555, 0.2497911900281906, 0.2264966368675232, 0.20455718040466309, 0.18401825428009033, 0.1650548279285431, 0.14768677949905396, 0.1319819986820221, 0.11773602664470673, 0.10485843569040298, 0.0932132825255394, 0.08268586546182632, 0.07316665351390839, 0.06457163393497467, 0.05674127861857414, 0.0496414378285408, 0.04314407333731651, 0.037187717854976654, 0.03173184022307396, 0.026691848412156105, 0.022049453109502792, 0.017721785232424736, 0.013696305453777313, 0.009908821433782578, 0.006373211741447449, 0.0030028708279132843, -0.00017521530389785767, -0.0032269321382045746, -0.0061348676681518555, -0.008929263800382614, -0.011636544018983841, -0.014244690537452698, -0.016779165714979172, -0.019242949783802032, -0.021641086786985397, -0.02397160977125168, -0.026245063170790672, -0.02844933234155178, -0.03058384172618389, -0.032647669315338135, -0.03464512526988983]",0.89937106918239,0.7734513274336283,0.6681957186544343,0.9180672268907563
1,2,16,1,,0.005,removal,0,0.18009008335674812,114,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5013530850410461, 0.48096948862075806, 0.45968276262283325, 0.43586084246635437, 0.4112645983695984, 0.3866190016269684, 0.3619043529033661, 0.3366190791130066, 0.3110401928424835, 0.286141037940979, 0.2625187337398529, 0.24011194705963135, 0.21886561810970306, 0.1987723410129547, 0.17982566356658936, 0.16218167543411255, 0.1458340436220169, 0.1308312714099884, 0.11708402633666992, 0.10454703122377396, 0.09306725859642029, 0.08262959867715836, 0.07306159287691116, 0.06433652341365814, 0.05634954571723938, 0.049000442028045654, 0.042261846363544464, 0.03602086007595062, 0.030260145664215088, 0.02490806020796299, 0.019926467910408974, 0.015289846807718277, 0.010959433391690254, 0.006900772452354431, 0.0030866265296936035, -0.0004987791180610657, -0.00386013463139534, -0.007045730948448181, -0.010039988905191422, -0.012856975197792053, -0.015523189678788185, -0.01803402230143547, -0.02043280377984047, -0.022689472883939743, -0.024843648076057434, -0.02690388448536396, -0.028869198635220528, -0.030744608491659164, -0.03257162123918533, -0.03432891517877579]",0.9013364779874213,0.7830596369922213,0.6926605504587156,0.9005964214711729
1,2,16,1,,0.005,removal,0,0.18009008335674812,25,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4977880120277405, 0.48137223720550537, 0.46132588386535645, 0.438458114862442, 0.41466420888900757, 0.3907667398452759, 0.3671914041042328, 0.3441943824291229, 0.3217121958732605, 0.29989439249038696, 0.27894163131713867, 0.2588775157928467, 0.2397991120815277, 0.2217129021883011, 0.20458389818668365, 0.1884414255619049, 0.1732390820980072, 0.15900951623916626, 0.1457553207874298, 0.1334298998117447, 0.12196487188339233, 0.1113608106970787, 0.10157061368227005, 0.09251676499843597, 0.08410229533910751, 0.07635824382305145, 0.06913670152425766, 0.06239807978272438, 0.05612430348992348, 0.05020677298307419, 0.044650256633758545, 0.03940354660153389, 0.03444252535700798, 0.0297548808157444, 0.025307919830083847, 0.0210803784430027, 0.01708122342824936, 0.013290487229824066, 0.009690918028354645, 0.006268411874771118, 0.003019385039806366, -8.741766214370728e-05, -0.0030290409922599792, -0.00584029033780098, -0.008552785962820053, -0.011137433350086212, -0.01360834389925003, -0.015975601971149445, -0.018244992941617966, -0.02041735127568245]",0.8863993710691824,0.7440212577502214,0.6422018348623854,0.8842105263157894
