dataset,mechanism,methodology,model_type,train_pct,avg_f1,f1_std
wiki-cs,SCAR,nnpu,MLP,0.5,0.713225933,0.006336129
wiki-cs,SCAR,nnpu,GATConv,0.5,0.683064616,0.070790727
wiki-cs,SCAR,nnpu,GCNConv,0.5,0.7674917725750394,0.006189728
wiki-cs,SCAR,imbnnpu,MLP,0.5,0.7529396817216176,0.002726395
wiki-cs,SCAR,imbnnpu,GATConv,0.5,0.7425452820394203,0.02873396
wiki-cs,SCAR,imbnnpu,GCNConv,0.5,0.8008928791255874,0.001617823
wiki-cs,SAR,naive,MLP,0.5,0.1398957980828224,0.029194217
wiki-cs,SAR,naive,GATConv,0.5,0.454480228,0.045070614
wiki-cs,SAR,naive,GCNConv,0.5,0.4732059628911674,0.030050737
wiki-cs,SAR,NNIF,NNIF+XGBoost,0.5,0.7441568195304058,0.009273444
wiki-cs,SAR,two_nnif,MLP,0.5,0.7451635391718229,0.013778559
wiki-cs,SAR,two_nnif,GATConv,0.5,0.81729709,0.004386596
wiki-cs,SAR,two_nnif,GCNConv,0.5,0.8258227497778602,0.010204802
wiki-cs,SAR,spy,MLP,0.5,0.6831870220956241,0.008199061
wiki-cs,SAR,spy,GATConv,0.5,0.7895649216815623,0.012441575
wiki-cs,SAR,spy,GCNConv,0.5,0.7835463289304139,0.01727581
wiki-cs,SAR,nnpu,MLP,0.5,0.711651118,0.004739454
wiki-cs,SAR,nnpu,GATConv,0.5,0.6963762978555826,0.017410098
wiki-cs,SAR,nnpu,GCNConv,0.5,0.7679713148008249,0.007831178
wiki-cs,SAR,imbnnpu,MLP,0.5,0.7510698675279007,0.00316675
wiki-cs,SAR,imbnnpu,GATConv,0.5,0.7391148076395588,0.054953657
wiki-cs,SAR,imbnnpu,GCNConv,0.5,0.8031098756593504,0.006854145
pubmed,SCAR,ours,GCNConv,0.5,0.7471,0.0101
pubmed,SAR,ours,GCNConv,0.5,0.7356,0.0101
cora,SCAR,ours,GCNConv,0.5,0.7912,0.0101
cora,SAR,ours,GCNConv,0.5,0.7904,0.0101
citeseer,SCAR,ours,GATConv,0.5,0.7383,0.0101
citeseer,SAR,ours,GATConv,0.5,0.7315,0.0101
wiki-cs,SCAR,ours,GCNConv,0.5,0.8384,0.0101
wiki-cs,SAR,ours,GCNConv,0.5,0.8325,0.0101
