dataset,mechanism,methodology,model_type,train_pct,avg_f1,f1_std
pubmed,SAR,imbnnpu,GATConv,0.2,0.7274,0.0046
pubmed,SAR,imbnnpu,GCNConv,0.2,0.7481,0.001
pubmed,SAR,ours,GCNConv,0.2,0.5709,0.0045
citeseer,SCAR,naive,MLP,0.3,0.0068,0.0019
citeseer,SCAR,naive,GATConv,0.3,0.0733,0.0164
citeseer,SCAR,naive,GCNConv,0.3,0.0027,0.0038
citeseer,SCAR,NNIF,MLP,0.3,0.1909,0.0435
citeseer,SCAR,two_nnif,MLP,0.3,0.1221,0.0088
citeseer,SCAR,two_nnif,GATConv,0.3,0.2857,0.0448
citeseer,SCAR,two_nnif,GCNConv,0.3,0.1681,0.1197
citeseer,SCAR,spy,MLP,0.3,0.5152,0.0187
citeseer,SCAR,spy,GATConv,0.3,0.5958,0.0037
citeseer,SCAR,spy,GCNConv,0.3,0.6015,0.0167
citeseer,SCAR,nnpu,MLP,0.3,0.6529,0.0104
citeseer,SCAR,nnpu,GATConv,0.3,0.731,0.0144
citeseer,SCAR,nnpu,GCNConv,0.3,0.7393,0.0127
citeseer,SCAR,imbnnpu,MLP,0.3,0.2613,0.024
citeseer,SCAR,imbnnpu,GATConv,0.3,0.5873,0.0018
citeseer,SCAR,imbnnpu,GCNConv,0.3,0.6671,0.0137
citeseer,SCAR,ours,GATConv,0.3,0.4958,0.0061
citeseer,SAR,naive,MLP,0.3,0.0081,0.0057
citeseer,SAR,naive,GATConv,0.3,0.088,0.0348
citeseer,SAR,naive,GCNConv,0.3,0.004,0.0057
citeseer,SAR,NNIF,MLP,0.3,0.1667,0.0256
citeseer,SAR,two_nnif,MLP,0.3,0.0575,0.0265
citeseer,SAR,two_nnif,GATConv,0.3,0.2421,0.0133
citeseer,SAR,two_nnif,GCNConv,0.3,0.1242,0.0885
citeseer,SAR,spy,MLP,0.3,0.5175,0.046
citeseer,SAR,spy,GATConv,0.3,0.5844,0.0143
citeseer,SAR,spy,GCNConv,0.3,0.5766,0.0154
citeseer,SAR,nnpu,MLP,0.3,0.6786,0.0164
citeseer,SAR,nnpu,GATConv,0.3,0.7303,0.0185
citeseer,SAR,nnpu,GCNConv,0.3,0.7367,0.0107
citeseer,SAR,imbnnpu,MLP,0.3,0.2954,0.0343
citeseer,SAR,imbnnpu,GATConv,0.3,0.6186,0.0074
citeseer,SAR,imbnnpu,GCNConv,0.3,0.6706,0.0153
citeseer,SAR,ours,GATConv,0.3,0.4911,0.0351
cora,SCAR,naive,MLP,0.3,0.0218,0.0106
cora,SCAR,naive,GATConv,0.3,0.1088,0.0388
cora,SCAR,naive,GCNConv,0.3,0.0528,0.0698
cora,SCAR,NNIF,MLP,0.3,0.1694,0.0314
cora,SCAR,two_nnif,MLP,0.3,0.1436,0.0207
cora,SCAR,two_nnif,GATConv,0.3,0.2382,0.0336
cora,SCAR,two_nnif,GCNConv,0.3,0.1434,0.0753
cora,SCAR,spy,MLP,0.3,0.5198,0.0066
cora,SCAR,spy,GATConv,0.3,0.6398,0.0144
cora,SCAR,spy,GCNConv,0.3,0.6633,0.0315
cora,SCAR,nnpu,MLP,0.3,0.6531,0.0203
cora,SCAR,nnpu,GATConv,0.3,0.7915,0.0347
cora,SCAR,nnpu,GCNConv,0.3,0.846,0.0227
cora,SCAR,imbnnpu,MLP,0.3,0.4391,0.019
cora,SCAR,imbnnpu,GATConv,0.3,0.7305,0.0164
cora,SCAR,imbnnpu,GCNConv,0.3,0.814,0.0304
cora,SCAR,ours,GCNConv,0.3,0.5675,0.017
cora,SAR,naive,MLP,0.3,0,0
cora,SAR,naive,GATConv,0.3,0.0318,0.0239
cora,SAR,naive,GCNConv,0.3,0,0
cora,SAR,NNIF,MLP,0.3,0.1897,0.0672
cora,SAR,two_nnif,MLP,0.3,0.1268,0.04
cora,SAR,two_nnif,GATConv,0.3,0.1439,0.0979
cora,SAR,two_nnif,GCNConv,0.3,0.0475,0.049
cora,SAR,spy,MLP,0.3,0.5068,0.0064
cora,SAR,spy,GATConv,0.3,0.6259,0.0163
cora,SAR,spy,GCNConv,0.3,0.6658,0.0139
cora,SAR,nnpu,MLP,0.3,0.6613,0.009
cora,SAR,nnpu,GATConv,0.3,0.8206,0.0152
cora,SAR,nnpu,GCNConv,0.3,0.8462,0.0146
cora,SAR,imbnnpu,MLP,0.3,0.4365,0.0263
cora,SAR,imbnnpu,GATConv,0.3,0.7559,0.0303
cora,SAR,imbnnpu,GCNConv,0.3,0.8161,0.0164
cora,SAR,ours,GCNConv,0.3,0.5232,0.0342
pubmed,SCAR,naive,MLP,0.3,0.04,0.0296
pubmed,SCAR,naive,GATConv,0.3,0.0349,0.02
pubmed,SCAR,naive,GCNConv,0.3,0,0
pubmed,SCAR,NNIF,MLP,0.3,0.6606,0.0108
pubmed,SCAR,two_nnif,MLP,0.3,0.6869,0.0108
pubmed,SCAR,two_nnif,GATConv,0.3,0.6773,0.0114
pubmed,SCAR,two_nnif,GCNConv,0.3,0.7065,0.0093
pubmed,SCAR,spy,MLP,0.3,0.7616,0.0052
pubmed,SCAR,spy,GATConv,0.3,0.7999,0.0056
pubmed,SCAR,spy,GCNConv,0.3,0.8048,0.0052
