dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
pubmed,SAR,NNIF,MLP,0.2,0.6940686389796235,0.028584570429211028
pubmed,SAR,two_nnif,MLP,0.4,0.7612093244167296,0.004838870342299086
pubmed,SAR,two_nnif,GATConv,0.4,0.789644722562428,0.0009265300922756661
pubmed,SAR,two_nnif,GCNConv,0.4,0.788373626105222,0.0031205572560283985
pubmed,SAR,two_nnif,MLP,0.3,0.7485680368356052,0.006972476955198306
pubmed,SAR,two_nnif,GATConv,0.3,0.7731229146864699,0.0082594275511375
pubmed,SAR,two_nnif,GCNConv,0.3,0.7645804345497562,0.008094350617515548
pubmed,SAR,two_nnif,MLP,0.2,0.7024149654790586,0.015112411326429442
pubmed,SAR,two_nnif,GATConv,0.2,0.7134317961033184,0.01422875660407237
pubmed,SAR,two_nnif,GCNConv,0.2,0.7115791488941765,0.030984233291525182
pubmed,SAR,ours,GCNConv,0.4,0.7517329484899481,0.005801709127529134
pubmed,SAR,ours,GCNConv,0.3,0.7502241752503482,0.005390231299908297
pubmed,SAR,ours,GCNConv,0.2,0.7281167016286408,0.0049074140567261695
wiki-cs,SCAR,NNIF,MLP,0.4,0.7475117460705863,0.007972646256542499
wiki-cs,SCAR,NNIF,MLP,0.3,0.7044472683543023,0.011065208918411217
wiki-cs,SCAR,NNIF,MLP,0.2,0.5467975985881487,0.02049057833806357
wiki-cs,SCAR,two_nnif,MLP,0.4,0.7357839772250131,0.011626276025274539
wiki-cs,SCAR,two_nnif,GATConv,0.4,0.7995231577354566,0.005038226630333228
wiki-cs,SCAR,two_nnif,GCNConv,0.4,0.8174548852573915,0.009255583247466852
wiki-cs,SCAR,two_nnif,MLP,0.3,0.6574025311270418,0.005463911642191848
wiki-cs,SCAR,two_nnif,GATConv,0.3,0.7342231737981537,0.03839499222899674
wiki-cs,SCAR,two_nnif,GCNConv,0.3,0.7517770087131336,0.010563086746196722
wiki-cs,SCAR,two_nnif,MLP,0.2,0.4501930651332393,0.014230194163680149
wiki-cs,SCAR,two_nnif,GATConv,0.2,0.4655540646285137,0.05908473294507406
wiki-cs,SCAR,two_nnif,GCNConv,0.2,0.4636057628060664,0.056922850092807876
wiki-cs,SCAR,ours,GCNConv,0.4,0.8357274377107586,0.00798452496410913
wiki-cs,SCAR,ours,GCNConv,0.3,0.7880615891871087,0.0044374268035940545
wiki-cs,SCAR,ours,GCNConv,0.2,0.706663306227648,0.03131218543883512
wiki-cs,SAR,NNIF,MLP,0.4,0.7332900237458433,0.002498509949502022
wiki-cs,SAR,NNIF,MLP,0.3,0.6757052344621788,0.006831808285355605
wiki-cs,SAR,NNIF,MLP,0.2,0.537259921770124,0.015794609020519882
wiki-cs,SAR,two_nnif,MLP,0.4,0.7136978722876132,0.009397066419712705
wiki-cs,SAR,two_nnif,GATConv,0.4,0.7924542664614084,0.01144702621346487
wiki-cs,SAR,two_nnif,GCNConv,0.4,0.7898619629021079,0.01894881482253561
wiki-cs,SAR,two_nnif,MLP,0.3,0.603271346382261,0.020904517075248492
wiki-cs,SAR,two_nnif,GATConv,0.3,0.7143054779602621,0.025547117642359805
wiki-cs,SAR,two_nnif,GCNConv,0.3,0.7046119495217354,0.031194982202032314
wiki-cs,SAR,two_nnif,MLP,0.2,0.4280836302474313,0.02951822155056114
wiki-cs,SAR,two_nnif,GATConv,0.2,0.4528075691167098,0.05117886391092092
wiki-cs,SAR,two_nnif,GCNConv,0.2,0.47317560203163306,0.030513750214728963
wiki-cs,SAR,ours,GCNConv,0.4,0.8316355261021439,0.0060695102839422805
wiki-cs,SAR,ours,GCNConv,0.3,0.8057561764342823,0.005041480243300476
wiki-cs,SAR,ours,GCNConv,0.2,0.6960212378878631,0.01455596471941638
