dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
pubmed,SAR,imbnnpu,MLP,0.75,0.6329975260010402,0.00771676290430264
pubmed,SAR,imbnnpu,GATConv,0.75,0.6828883570315747,0.0042726862113269745
pubmed,SAR,imbnnpu,GCNConv,0.75,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,0.75,0.0,0.0
pubmed,SAR,NNIF,MLP,1.0,0.0,0.0
pubmed,SAR,two_nnif,MLP,1.0,0.0,0.0
pubmed,SAR,two_nnif,GATConv,1.0,0.0,0.0
pubmed,SAR,two_nnif,GCNConv,1.0,0.0,0.0
pubmed,SAR,nnpu,MLP,1.0,0.5444233470502747,0.03812422034539471
pubmed,SAR,nnpu,GATConv,1.0,0.6144581940472572,0.011987137897266563
pubmed,SAR,nnpu,GCNConv,1.0,0.6170965335248569,0.009413930312257098
pubmed,SAR,imbnnpu,MLP,1.0,0.6332680045863776,0.007811766350376828
pubmed,SAR,imbnnpu,GATConv,1.0,0.6828604669124103,0.00429718533329621
pubmed,SAR,imbnnpu,GCNConv,1.0,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,1.0,0.0,0.0
pubmed,SAR,NNIF,MLP,1.25,0.0,0.0
pubmed,SAR,two_nnif,MLP,1.25,0.0,0.0
pubmed,SAR,two_nnif,GATConv,1.25,0.0,0.0
pubmed,SAR,two_nnif,GCNConv,1.25,0.0,0.0
pubmed,SAR,nnpu,MLP,1.25,0.6333711247669824,0.007536510872520584
pubmed,SAR,nnpu,GATConv,1.25,0.682967274629724,0.004503670755549374
pubmed,SAR,nnpu,GCNConv,1.25,0.6971327224931955,0.003959472486595214
pubmed,SAR,imbnnpu,MLP,1.25,0.6333109968632301,0.007962366926818058
pubmed,SAR,imbnnpu,GATConv,1.25,0.6828328153345719,0.004311604269936229
pubmed,SAR,imbnnpu,GCNConv,1.25,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,1.25,0.0,0.0
pubmed,SAR,NNIF,MLP,1.5,0.0,0.0
pubmed,SAR,two_nnif,MLP,1.5,0.0,0.0
pubmed,SAR,two_nnif,GATConv,1.5,0.0,0.0
pubmed,SAR,two_nnif,GCNConv,1.5,0.0,0.0
pubmed,SAR,nnpu,MLP,1.5,0.6029489786278596,0.020868486062923193
pubmed,SAR,nnpu,GATConv,1.5,0.6614021872067161,0.012629808991674991
pubmed,SAR,nnpu,GCNConv,1.5,0.6427667378884493,0.025749960901339672
pubmed,SAR,imbnnpu,MLP,1.5,0.633415299186308,0.007954915387249687
pubmed,SAR,imbnnpu,GATConv,1.5,0.6828604669124103,0.00429718533329621
pubmed,SAR,imbnnpu,GCNConv,1.5,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,1.5,0.0,0.0
pubmed,SAR,NNIF,MLP,1.75,0.0,0.0
pubmed,SAR,two_nnif,MLP,1.75,0.0,0.0
pubmed,SAR,two_nnif,GATConv,1.75,0.0,0.0
