dataset,mechanism,methodology,model_type,avg_f1,std_f1
pubmed,SCAR,imbnnpu,GATConv,0.0,0.0
pubmed,SCAR,imbnnpu,GCNConv,0.0,0.0
pubmed,SAR,XGBoost,MLP,0.0829304916708907,0.011483056277593459
pubmed,SAR,naive,MLP,0.30715501853766874,0.05103759279765559
pubmed,SAR,naive,GATConv,0.36385745735801384,0.03537334663204564
pubmed,SAR,naive,GCNConv,0.42559436930483907,0.027058824864570303
pubmed,SAR,NNIF,MLP,0.7870290213044642,0.007423388990207388
pubmed,SAR,two_nnif,MLP,0.7533924128091984,0.0025954887959975972
pubmed,SAR,two_nnif,GATConv,0.7821143559848414,0.004885908874857396
pubmed,SAR,two_nnif,GCNConv,0.7807995893149428,0.003676419621428961
pubmed,SAR,spy,MLP,0.7177616519839314,0.004014590125328177
pubmed,SAR,spy,GATConv,0.774216435895831,0.002162118268264589
pubmed,SAR,spy,GCNConv,0.7747541293019827,0.004750483790895288
pubmed,SAR,nnpu,MLP,0.0,0.0
pubmed,SAR,nnpu,GATConv,0.0,0.0
pubmed,SAR,nnpu,GCNConv,0.0,0.0
pubmed,SAR,imbnnpu,MLP,0.0,0.0
pubmed,SAR,imbnnpu,GATConv,0.0,0.0
pubmed,SAR,imbnnpu,GCNConv,0.0,0.0
wiki-cs,SCAR,XGBoost,MLP,0.0,0.0
wiki-cs,SCAR,naive,MLP,0.15668927926541976,0.022881256566293848
wiki-cs,SCAR,naive,GATConv,0.3991551610278896,0.07604788633998442
wiki-cs,SCAR,naive,GCNConv,0.4727892080290254,0.017321372313009367
wiki-cs,SCAR,NNIF,MLP,0.7589351557358647,0.006684326530370022
wiki-cs,SCAR,two_nnif,MLP,0.7546329296598636,0.007855109508407104
wiki-cs,SCAR,two_nnif,GATConv,0.8125951381016099,0.004615820812869348
wiki-cs,SCAR,two_nnif,GCNConv,0.8294472739361218,0.004571148135464009
wiki-cs,SCAR,spy,MLP,0.6836365806873916,0.010823334205798174
wiki-cs,SCAR,spy,GATConv,0.7869593507352324,0.010823968980942048
wiki-cs,SCAR,spy,GCNConv,0.7853676812719985,0.01779995283658544
wiki-cs,SCAR,nnpu,MLP,0.0,0.0
wiki-cs,SCAR,nnpu,GATConv,0.0,0.0
wiki-cs,SCAR,nnpu,GCNConv,0.0,0.0
wiki-cs,SCAR,imbnnpu,MLP,0.0,0.0
