dataset,mechanism,methodology,model_type,avg_f1,std_f1,,0.5,0.4,0.3,0.2
pubmed,SCAR,spy,GCNConv,0.7808364859460074,0.008443808,,,,,
pubmed,SCAR,nnpu,MLP,0.5609941451335405,0.036932705,,,,,
pubmed,SCAR,nnpu,GATConv,0.6463199442622678,0.0182915,,,,,
pubmed,SCAR,nnpu,GCNConv,0.6470185067525851,0.026455154280327457,,,,,
pubmed,SCAR,imbnnpu,MLP,0.6659378540686636,0.008208204,,,,,
pubmed,SCAR,imbnnpu,GATConv,0.7044671149193472,0.008566718,,,,,
pubmed,SCAR,imbnnpu,GCNConv,0.7099181933387496,0.004912222,,,,,
pubmed,SAR,naive,XGBoost,0.082930492,0.011483056277593459,,,,,
pubmed,SAR,naive,MLP,0.30715501853766874,0.051037593,,,,,
pubmed,SAR,naive,GATConv,0.36385745735801384,0.035373347,,,,,
pubmed,SAR,naive,GCNConv,0.42559436930483907,0.027058824864570303,,,,,
pubmed,SAR,two_nnif,NNIF+XGBoost,0.7870290213044642,0.007423389,,,,,
pubmed,SAR,two_nnif,MLP,0.7533924128091984,0.002595489,,,,,
pubmed,SAR,two_nnif,GATConv,0.7821143559848414,0.004885909,,,,,
pubmed,SAR,two_nnif,GCNConv,0.7807995893149428,0.00367642,,,,,
pubmed,SAR,spy,MLP,0.7177616519839314,0.00401459,,,,,
pubmed,SAR,spy,GATConv,0.774216436,0.002162118,,,,,
pubmed,SAR,spy,GCNConv,0.7747541293019827,0.004750484,,,,,
pubmed,SAR,nnpu,MLP,0.5344129823351197,0.033549520349347786,,,,,
pubmed,SAR,nnpu,GATConv,0.631162591,0.030675035,,,,,
pubmed,SAR,nnpu,GCNConv,0.6096370132822593,0.011703275996264303,,,,,
pubmed,SAR,imbnnpu,MLP,0.6402644681560661,0.011051656860783224,,,,,
pubmed,SAR,imbnnpu,GATConv,0.6871320249544596,0.008268321,,,,,
pubmed,SAR,imbnnpu,GCNConv,0.6951308971027015,0.004929464,,,,,
wiki-cs,SCAR,naive,XGBoost,0,0,,,,,
wiki-cs,SCAR,naive,MLP,0.15668927926541976,0.022881256566293848,,,,,
wiki-cs,SCAR,naive,GATConv,0.3991551610278896,0.076047886,,,,,
wiki-cs,SCAR,naive,GCNConv,0.4727892080290254,0.017321372313009367,,,,,
wiki-cs,SCAR,two_nnif,NNIF+XGBoost,0.7589351557358647,0.006684327,,,,,
wiki-cs,SCAR,two_nnif,MLP,0.7546329296598636,0.00785511,,,,,
wiki-cs,SCAR,two_nnif,GATConv,0.8125951381016099,0.004615821,,,,,
wiki-cs,SCAR,two_nnif,GCNConv,0.8294472739361218,0.004571148,,,,,
