dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
citeseer,SAR,spy,GCNConv,0.3,0.5765678048286743,0.015351897784832215
citeseer,SAR,spy,MLP,0.2,0.4230740125885168,0.04359616323917345
citeseer,SAR,spy,GATConv,0.2,0.5337448369543751,0.029412045640476146
citeseer,SAR,spy,GCNConv,0.2,0.49227377177080694,0.034837291269597004
citeseer,SAR,nnpu,MLP,0.4,0.6796357337105233,0.022276672946031754
citeseer,SAR,nnpu,GATConv,0.4,0.72469735571181,0.016920249543800257
citeseer,SAR,nnpu,GCNConv,0.4,0.7255672350976218,0.008189005366556354
citeseer,SAR,nnpu,MLP,0.3,0.6786045245256891,0.01637585993136871
citeseer,SAR,nnpu,GATConv,0.3,0.7303401078132169,0.018543241793176728
citeseer,SAR,nnpu,GCNConv,0.3,0.7367437774951554,0.01070541081818897
citeseer,SAR,nnpu,MLP,0.2,0.6106880580124309,0.03342476301679823
citeseer,SAR,nnpu,GATConv,0.2,0.7180020865419173,0.022423249640430402
citeseer,SAR,nnpu,GCNConv,0.2,0.7261876315639756,0.015817490341845087
citeseer,SAR,imbnnpu,MLP,0.4,0.40049895560855736,0.018230602511747098
citeseer,SAR,imbnnpu,GATConv,0.4,0.6686615675651063,0.020020956876648118
citeseer,SAR,imbnnpu,GCNConv,0.4,0.6926315586380737,0.01540374188168016
citeseer,SAR,imbnnpu,MLP,0.3,0.29544964497563386,0.03430886570409282
citeseer,SAR,imbnnpu,GATConv,0.3,0.6186221783301367,0.007359024472512316
citeseer,SAR,imbnnpu,GCNConv,0.3,0.6706347259676869,0.015330794459386201
citeseer,SAR,imbnnpu,MLP,0.2,0.15418380587752456,0.02442141920998293
citeseer,SAR,imbnnpu,GATConv,0.2,0.5006943635540025,0.016218795070006575
citeseer,SAR,imbnnpu,GCNConv,0.2,0.57581079485653,0.022996569236146902
citeseer,SAR,ours,GATConv,0.4,0.43964015142548857,0.02492448764820652
citeseer,SAR,ours,GATConv,0.3,0.4910535411102626,0.035079510239710864
citeseer,SAR,ours,GATConv,0.2,0.4382245871759949,0.05347996978479679
cora,SCAR,naive,MLP,0.4,0.014785241597904869,0.006786635256507724
cora,SCAR,naive,GATConv,0.4,0.23112922455790993,0.011691074381599241
cora,SCAR,naive,GCNConv,0.4,0.11988178291091646,0.10552926465515527
cora,SCAR,naive,MLP,0.3,0.021791921908461576,0.010583606182905877
cora,SCAR,naive,GATConv,0.3,0.10876686363936361,0.038823262763113
cora,SCAR,naive,GCNConv,0.3,0.05277509393451423,0.0697740713511693
cora,SCAR,naive,MLP,0.2,0.0010178117048346056,0.0014394031169191806
cora,SCAR,naive,GATConv,0.2,0.03525768635257687,0.03774250764398478
cora,SCAR,naive,GCNConv,0.2,0.0010178117048346056,0.0014394031169191806
cora,SCAR,NNIF,MLP,0.4,0.23481985774007208,0.07938781816806469
cora,SCAR,NNIF,MLP,0.3,0.1693681853393523,0.03142198471113602
cora,SCAR,NNIF,MLP,0.2,0.09768568937944648,0.034010360960935286
cora,SCAR,two_nnif,MLP,0.4,0.19827435125564163,0.03353133404123004
cora,SCAR,two_nnif,GATConv,0.4,0.42268442649913673,0.07394816225863242
cora,SCAR,two_nnif,GCNConv,0.4,0.4064050767791206,0.023812626770713823
cora,SCAR,two_nnif,MLP,0.3,0.14358299150925877,0.02074572017876017
cora,SCAR,two_nnif,GATConv,0.3,0.23823444729437415,0.03364711598891232
cora,SCAR,two_nnif,GCNConv,0.3,0.14338299421394624,0.07530709684747462
cora,SCAR,two_nnif,MLP,0.2,0.0664873768080465,0.009678811156639166
cora,SCAR,two_nnif,GATConv,0.2,0.10370109902223783,0.047451514287140235
cora,SCAR,two_nnif,GCNConv,0.2,0.02737047898338221,0.038707702586946884
cora,SCAR,spy,MLP,0.4,0.525368487822792,0.010541821570829512
cora,SCAR,spy,GATConv,0.4,0.670711039088275,0.025144841906418823
cora,SCAR,spy,GCNConv,0.4,0.71027211520699,0.009753274055853075
cora,SCAR,spy,MLP,0.3,0.5198328434650135,0.006611290908476057
cora,SCAR,spy,GATConv,0.3,0.6397767035937502,0.014388004879457341
cora,SCAR,spy,GCNConv,0.3,0.663261124022316,0.031480522926378075
cora,SCAR,spy,MLP,0.2,0.4625122909529051,0.03755938637997653
cora,SCAR,spy,GATConv,0.2,0.5818810245359564,0.01662188734937145
cora,SCAR,spy,GCNConv,0.2,0.6271137627537343,0.03006177841383448
cora,SCAR,nnpu,MLP,0.4,0.6705832641632311,0.014364849466494899
cora,SCAR,nnpu,GATConv,0.4,0.7803757971659375,0.02636645533764216
cora,SCAR,nnpu,GCNConv,0.4,0.8316065516002468,0.015895212312739763
cora,SCAR,nnpu,MLP,0.3,0.653100323300272,0.020342361397887213
cora,SCAR,nnpu,GATConv,0.3,0.7915338043472447,0.03466969103339757
cora,SCAR,nnpu,GCNConv,0.3,0.8459864155207929,0.022716221093670073
cora,SCAR,nnpu,MLP,0.2,0.6244012942582223,0.0173090426627397
cora,SCAR,nnpu,GATConv,0.2,0.7767258310737103,0.017819399274384765
cora,SCAR,nnpu,GCNConv,0.2,0.8406838572680005,0.015119106824904398
cora,SCAR,imbnnpu,MLP,0.4,0.5197153353738644,0.031962929158386326
