dataset,mechanism,treatment,anomaly_detector,methodology,model_type,avg_f1,std_f1
wiki-cs,SCAR,relabeling,unweighted,NNIF,MLP,0.2318588904435476,0.0034052716537217543
wiki-cs,SCAR,relabeling,unweighted,two_nnif,MLP,0.7621953311606934,0.0057170101679170585
wiki-cs,SCAR,relabeling,unweighted,two_nnif,GATConv,0.8199121739995258,0.00867417450547282
wiki-cs,SCAR,relabeling,unweighted,two_nnif,GCNConv,0.8365476625039419,0.004018948536144684
wiki-cs,SCAR,relabeling,unweighted,ours,GCNConv,0.06042864289250094,0.0033096738636091065
wiki-cs,SAR,removal,nearest_neighbors,NNIF,MLP,0.7505882272714254,0.0045900684029358116
wiki-cs,SAR,removal,nearest_neighbors,two_nnif,MLP,0.7527179375066014,0.008168286061045422
wiki-cs,SAR,removal,nearest_neighbors,two_nnif,GATConv,0.8132799282375061,0.0031408255351968
wiki-cs,SAR,removal,nearest_neighbors,two_nnif,GCNConv,0.8212598681692294,0.007475507601166998
wiki-cs,SAR,removal,nearest_neighbors,ours,GCNConv,0.8340200719214748,0.002971961530521887
wiki-cs,SAR,removal,unweighted,NNIF,MLP,0.15704625372223588,0.019925361333023747
wiki-cs,SAR,removal,unweighted,two_nnif,MLP,0.7527179375066014,0.008168286061045422
wiki-cs,SAR,removal,unweighted,two_nnif,GATConv,0.8132707451854634,0.0027552806431259853
wiki-cs,SAR,removal,unweighted,two_nnif,GCNConv,0.8212598681692294,0.007475507601166998
wiki-cs,SAR,removal,unweighted,ours,GCNConv,0.06489575973781374,0.014351359166556409
wiki-cs,SAR,relabeling,nearest_neighbors,NNIF,MLP,0.6410067830021177,0.004348760341886343
wiki-cs,SAR,relabeling,nearest_neighbors,two_nnif,MLP,0.7527179375066014,0.008168286061045422
wiki-cs,SAR,relabeling,nearest_neighbors,two_nnif,GATConv,0.814889269388115,0.003970408790216157
wiki-cs,SAR,relabeling,nearest_neighbors,two_nnif,GCNConv,0.8212598681692294,0.007475507601166998
wiki-cs,SAR,relabeling,nearest_neighbors,ours,GCNConv,0.7291851052537851,0.003395272075215226
wiki-cs,SAR,relabeling,unweighted,NNIF,MLP,0.2026070175692177,0.0046130361178865755
wiki-cs,SAR,relabeling,unweighted,two_nnif,MLP,0.7527179375066014,0.008168286061045422
wiki-cs,SAR,relabeling,unweighted,two_nnif,GATConv,0.8121973468168218,0.002864307363523063
wiki-cs,SAR,relabeling,unweighted,two_nnif,GCNConv,0.8212598681692294,0.007475507601166998
wiki-cs,SAR,relabeling,unweighted,ours,GCNConv,0.056045841352604174,0.00512652345092364
