alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,1,sum,1,0.9353772167117523,0.8460987831066571,0.8430813124108416,0.8491379310344828
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,2,sum,1,0.9353772167117523,0.8482709950599859,0.8573466476462197,0.8393854748603352
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,3,sum,1,0.941088067327923,0.8593974175035868,0.854493580599144,0.8643578643578643
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,4,sum,1,0.939585211902615,0.8557071069633884,0.8502139800285307,0.861271676300578
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,5,sum,1,0.9374812143071837,0.8518518518518519,0.8530670470756063,0.8506401137980085
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,6,sum,1,0.943492636008416,0.8659058487874465,0.8659058487874465,0.8659058487874465
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,7,sum,1,0.9347760745416291,0.845771144278607,0.8487874465049928,0.8427762039660056
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,8,sum,1,0.9338743612864443,0.8439716312056738,0.8487874465049928,0.8392101551480959
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,9,sum,1,0.9341749323715058,0.8427853553481695,0.8373751783166904,0.8482658959537572
0.94,18,1,256,128,,0.3,0.5,0.27,0.15,10,sum,1,0.9380823564773069,0.8536931818181818,0.8573466476462197,0.8500707213578501
