alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,1,sum,1,0.9380823564773069,0.8522238163558106,0.8473609129814551,0.8571428571428571
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,2,sum,1,0.9353772167117523,0.8478414720452937,0.854493580599144,0.8412921348314607
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,3,sum,1,0.9398857829876766,0.8567335243553008,0.8530670470756063,0.860431654676259
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,4,sum,1,0.9428914938382927,0.8633093525179856,0.8559201141226819,0.8708272859216255
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,5,sum,1,0.937180643222122,0.8506075768406004,0.8487874465049928,0.8524355300859598
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,6,sum,1,0.9377817853922452,0.8535031847133758,0.8601997146932953,0.8469101123595506
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,7,sum,1,0.9362789299669372,0.8500707213578501,0.8573466476462197,0.8429172510518934
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,8,sum,1,0.9326720769461978,0.8418079096045198,0.8502139800285307,0.8335664335664336
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,9,sum,1,0.9347760745416291,0.8442211055276382,0.8388017118402282,0.8497109826589595
0.5,18,1,256,128,,0.3,0.5,0.27,0.15,10,sum,1,0.9386834986474302,0.8549075391180654,0.8573466476462197,0.8524822695035461
