K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,accuracy,f1,recall,precision,losses
5,1,128,256,,0.002647254770377401,removal,0,0.11978859697996574,654,mean,GCNConv,1024,10,400,0.9383829275623685,0.8457486832204665,0.8017118402282454,0.8949044585987261,"[10.490413904190063, 10.315152645111084, 10.48348617553711, 10.096915245056152, 9.864760160446167, 9.810832500457764, 10.191016674041748, 9.739702701568604, 10.018876314163208, 9.596247673034668, 9.71077847480774, 9.542975664138794, 9.441838264465332, 9.258386850357056, 9.299436569213867, 9.37604022026062, 9.140067338943481, 9.261901140213013, 9.172971248626709, 8.885240316390991, 8.837893962860107, 8.82267141342163, 8.701421856880188, 8.649457454681396, 8.42773151397705, 8.45643949508667, 8.53235650062561, 8.40854799747467, 8.439871430397034, 8.599751710891724, 8.418282270431519, 8.061403393745422, 8.11449933052063, 8.107407569885254, 8.0350843667984, 7.561835169792175, 8.104090571403503, 7.750030994415283, 7.717228889465332, 7.792392611503601, 7.546783208847046, 7.508005857467651, 7.371264696121216, 7.313757300376892, 7.239256143569946, 7.274024605751038, 7.393133997917175, 7.261950135231018, 7.0743701457977295, 7.257150411605835]"
5,1,128,256,,0.002647254770377401,removal,0,0.11978859697996574,114,mean,GCNConv,1024,10,400,0.9368800721370604,0.8406676783004552,0.7902995720399429,0.8978930307941653,"[10.193405628204346, 10.213816165924072, 9.896144151687622, 9.95870304107666, 9.564520359039307, 9.618536233901978, 9.612041473388672, 9.630994081497192, 9.537811040878296, 9.456196069717407, 9.410133361816406, 9.107333898544312, 8.977310061454773, 9.063958406448364, 8.962386846542358, 8.796589374542236, 8.834729671478271, 8.7589830160141, 8.659042954444885, 8.682213544845581, 8.725860595703125, 8.60827898979187, 8.602766752243042, 8.411856889724731, 8.329206943511963, 8.290389060974121, 8.391480207443237, 8.094952940940857, 8.089782476425171, 8.148327589035034, 7.944702625274658, 7.900843501091003, 7.7644490003585815, 7.757805943489075, 7.662243843078613, 7.716269135475159, 7.6432894468307495, 7.515661120414734, 7.498027801513672, 7.389438271522522, 7.286662220954895, 7.187148690223694, 7.111835718154907, 7.336495876312256, 6.985933780670166, 7.219308018684387, 7.158079147338867, 6.933367490768433, 6.978413224220276, 6.689215064048767]"
5,1,128,256,,0.002647254770377401,removal,0,0.11978859697996574,25,mean,GCNConv,1024,10,400,0.9401863540727382,0.8507126781695424,0.8088445078459344,0.8971518987341772,"[10.607454538345337, 10.354524850845337, 10.382640361785889, 10.311121702194214, 10.289712905883789, 9.995420694351196, 10.00355315208435, 9.968316078186035, 9.947606801986694, 9.790783882141113, 9.475682735443115, 9.733736753463745, 9.441153287887573, 9.41649079322815, 9.197105169296265, 9.090370893478394, 9.308067798614502, 9.132483720779419, 9.019131898880005, 9.108721494674683, 9.003958225250244, 8.878851652145386, 8.67635440826416, 8.57382869720459, 8.642763614654541, 8.681865930557251, 8.616170167922974, 8.530974388122559, 8.444931507110596, 8.347748160362244, 8.29618215560913, 8.140790462493896, 7.9377782344818115, 8.17193603515625, 7.843668818473816, 7.793622612953186, 7.7715163230896, 7.913314461708069, 7.88901674747467, 7.671341061592102, 7.5534889698028564, 7.57607626914978, 7.593701720237732, 7.426416516304016, 7.294216871261597, 7.445565938949585, 7.313348889350891, 7.083025693893433, 7.244135856628418, 7.181349396705627]"
5,1,128,256,,0.002647254770377401,removal,0,0.11978859697996574,759,mean,GCNConv,1024,10,400,0.9419897805831079,0.8558625840179238,0.8174037089871612,0.8981191222570533,"[10.775673389434814, 10.2791428565979, 10.109585285186768, 10.249032020568848, 9.729881525039673, 9.90135669708252, 9.811585664749146, 10.043112754821777, 9.936177968978882, 9.747384786605835, 9.51516604423523, 9.494446992874146, 9.717604160308838, 9.352510690689087, 9.475075244903564, 9.31257939338684, 9.33522343635559, 9.189310789108276, 8.85352373123169, 9.11836290359497, 8.83332371711731, 8.898566961288452, 8.842388391494751, 8.712039947509766, 8.542780876159668, 8.516737937927246, 8.551126480102539, 8.409078240394592, 8.206265330314636, 8.204893946647644, 7.977238416671753, 7.890191197395325, 8.233480215072632, 7.955038666725159, 7.8807597160339355, 7.831094861030579, 7.964567303657532, 7.945660352706909, 7.81764554977417, 7.742022752761841, 7.437276244163513, 7.516960144042969, 7.3790329694747925, 7.469310164451599, 7.3253045082092285, 7.287361979484558, 7.307647109031677, 7.18651807308197, 7.106700301170349, 7.1546831130981445]"
5,1,128,256,,0.002647254770377401,removal,0,0.11978859697996574,281,mean,GCNConv,1024,10,400,0.9311692215208897,0.8263836239575436,0.7774607703281027,0.8818770226537217,"[10.52280330657959, 10.179331064224243, 10.482436418533325, 10.153833389282227, 10.281095027923584, 9.828413009643555, 9.807169675827026, 9.709704875946045, 9.700193881988525, 9.449074983596802, 9.51343822479248, 9.361432313919067, 9.167706966400146, 9.462955236434937, 9.383404970169067, 9.348081827163696, 8.845013618469238, 8.814716100692749, 8.777405738830566, 8.926661968231201, 8.592196702957153, 8.858320236206055, 8.912729263305664, 8.429067373275757, 8.299990773200989, 8.733886480331421, 8.489229917526245, 8.387900352478027, 8.053957343101501, 8.104987859725952, 8.151827335357666, 8.00851595401764, 7.935771703720093, 7.8662028312683105, 7.895111441612244, 7.966152191162109, 7.775973796844482, 7.66389524936676, 7.705172538757324, 7.677594780921936, 7.463343024253845, 7.545436501502991, 7.554165601730347, 7.5488117933273315, 7.289899826049805, 7.216931462287903, 7.142768383026123, 7.109116554260254, 7.258214592933655, 7.086162805557251]"
