alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,22,1,256,256,,0,0.5,0.9567235230883584,0.21074989590538648,1,sum,1,0.9215509467989179,0.8118240807498197,0.8031383737517832,0.8206997084548106
0.5,22,1,256,256,,0,0.5,0.9567235230883584,0.21074989590538648,2,sum,1,0.9335737902013826,0.8466342817487855,0.8701854493580599,0.8243243243243243
0.5,22,1,256,256,,0,0.5,0.9567235230883584,0.21074989590538648,3,sum,1,0.9308686504358281,0.8347701149425287,0.8288159771754636,0.8408104196816208
0.5,22,1,256,256,,0,0.5,0.9567235230883584,0.21074989590538648,4,sum,1,0.9236549443943493,0.8213783403656821,0.833095577746077,0.8099861303744799
0.5,22,1,256,256,,0,0.5,0.9567235230883584,0.21074989590538648,5,sum,1,0.9284640817553351,0.8328651685393258,0.8459343794579173,0.8201936376210235
