K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses
4,1,128,256,,0.006346506353144062,removal,0,0.14736863997797078,654,mean,GATConv,512,1,50,neighbor,50,100,nearest_neighbors,0.9470994890291554,0.8735632183908046,0.8673323823109843,0.8798842257597684,"[5.9179458022117615, 5.600818634033203, 5.4416438937187195, 5.329364836215973, 5.328649342060089, 5.238599002361298, 4.971744656562805, 4.863588392734528, 4.7283875942230225, 4.6831018924713135, 4.61297482252121, 4.497874438762665, 4.39059579372406, 4.257446467876434, 4.158264756202698, 4.000401258468628, 3.889923095703125, 3.7208510041236877, 3.712171286344528, 3.478745013475418, 3.3992065489292145, 3.3665862679481506, 3.3130376636981964, 3.194038689136505, 3.0245664715766907, 2.9947649240493774, 2.8953287601470947, 2.813736855983734, 2.704102039337158, 2.6369711458683014, 2.60139399766922, 2.487588405609131, 2.382855147123337, 2.378138244152069, 2.255408138036728, 2.2116590440273285, 2.1781610250473022, 2.073646754026413, 2.0164530277252197, 1.979395866394043, 1.9149679243564606, 1.8687462210655212, 1.8059596419334412, 1.7654466331005096, 1.724199041724205, 1.675551638007164, 1.608280062675476, 1.5889981389045715, 1.5086522996425629, 1.4971962124109268, 1.4421998262405396, 1.4242575764656067, 1.3756858706474304, 1.3675179779529572, 1.3364244997501373, 1.3124624490737915, 1.2717840671539307, 1.229014277458191, 1.197782576084137, 1.1681973487138748, 1.1590624153614044, 1.1325631737709045, 1.1172131299972534, 1.0930701047182083, 1.0790354907512665, 1.046302080154419, 1.013092651963234, 1.0086404383182526, 0.9579116851091385, 0.970102533698082, 0.9330095127224922, 0.9214450195431709, 0.8900300934910774, 0.8734164386987686, 0.8709018528461456, 0.8283609673380852, 0.830838218331337, 0.8049608245491982, 0.8036112934350967, 0.779203474521637, 0.7746136784553528, 0.7551907598972321, 0.7567029520869255, 0.7211131975054741, 0.7185450717806816, 0.7100477293133736, 0.6896320506930351, 0.6772672459483147, 0.6622828617691994, 0.6647781580686569, 0.6511130109429359, 0.6313638240098953, 0.6298187077045441, 0.6143190786242485, 0.6021891459822655, 0.5980923175811768, 0.5752366334199905, 0.5824982896447182, 0.5728055313229561, 0.5707656145095825]"
4,1,128,256,,0.006346506353144062,removal,0,0.14736863997797078,114,mean,GATConv,512,1,50,neighbor,50,100,nearest_neighbors,0.9440937781785392,0.8678977272727273,0.8716119828815977,0.8642149929278642,"[6.065643906593323, 5.7433472871780396, 5.610027492046356, 5.57126247882843, 5.436648964881897, 5.205843210220337, 5.0867666602134705, 5.030692279338837, 4.899405539035797, 4.770322203636169, 4.669763386249542, 4.513445734977722, 4.5305821895599365, 4.26107782125473, 4.237759113311768, 4.1350478529930115, 3.954189360141754, 3.9195083379745483, 3.8647554516792297, 3.662110537290573, 3.5529859364032745, 3.3795827627182007, 3.328649580478668, 3.225944936275482, 3.177704781293869, 3.0824899077415466, 2.9273810982704163, 2.865583896636963, 2.7706162333488464, 2.6906156837940216, 2.606875330209732, 2.5479989647865295, 2.508970767259598, 2.383677661418915, 2.3424327969551086, 2.2470240890979767, 2.2175076603889465, 2.1264255940914154, 2.1472208499908447, 1.9910882413387299, 1.988382875919342, 1.9036059975624084, 1.877965658903122, 1.8194097727537155, 1.756699189543724, 1.669207513332367, 1.6677337884902954, 1.650473028421402, 1.6003427058458328, 1.566690057516098, 1.5365546196699142, 1.49163419008255, 1.4298832565546036, 1.3883048295974731, 1.3874232918024063, 1.3306674510240555, 1.2713390588760376, 1.2745964974164963, 1.2163076549768448, 1.2133322060108185, 1.1510895043611526, 1.1599830985069275, 1.1432510167360306, 1.1018796116113663, 1.1070833951234818, 1.0783363282680511, 1.0381233990192413, 1.0105735510587692, 1.0038690268993378, 0.9887867867946625, 0.9611469432711601, 0.9304240494966507, 0.9183744043111801, 0.897500179708004, 0.8909186199307442, 0.8681979402899742, 0.8505792990326881, 0.8372587263584137, 0.8356437161564827, 0.7934273406863213, 0.8082640692591667, 0.7724759727716446, 0.7711557075381279, 0.7467425167560577, 0.7332870662212372, 0.7148271054029465, 0.7084203436970711, 0.7029195427894592, 0.6920986995100975, 0.6733234450221062, 0.6638314574956894, 0.6499876752495766, 0.6510300412774086, 0.631406657397747, 0.6193810030817986, 0.6063828766345978, 0.604834571480751, 0.5945920422673225, 0.5931758061051369, 0.5781280249357224]"
4,1,128,256,,0.006346506353144062,removal,0,0.14736863997797078,25,mean,GATConv,512,1,50,neighbor,50,100,nearest_neighbors,0.9446949203486624,0.8715083798882681,0.8901569186875892,0.853625170998632,"[5.920056521892548, 5.650944292545319, 5.5161449909210205, 5.280788540840149, 5.360725402832031, 5.215831935405731, 4.98429262638092, 4.973502039909363, 4.833895027637482, 4.648271679878235, 4.6886062026023865, 4.481465458869934, 4.351938188076019, 4.161943823099136, 4.068469882011414, 3.976066470146179, 3.8488104343414307, 3.755298465490341, 3.6292596757411957, 3.584095060825348, 3.5063354074954987, 3.376597821712494, 3.2229331135749817, 3.132144659757614, 3.062211751937866, 2.973399519920349, 2.8501773178577423, 2.8369695842266083, 2.688411384820938, 2.633842170238495, 2.5559678077697754, 2.513219952583313, 2.41732120513916, 2.317564219236374, 2.293048918247223, 2.2602264881134033, 2.1731573939323425, 2.0751502215862274, 2.0276788473129272, 1.998646080493927, 1.93844935297966, 1.8318132758140564, 1.833365872502327, 1.756584644317627, 1.711259350180626, 1.6867707669734955, 1.6255090832710266, 1.5868088752031326, 1.563183680176735, 1.5211465805768967, 1.4623798429965973, 1.434220090508461, 1.3962785303592682, 1.374204859137535, 1.317326933145523, 1.298501580953598, 1.2545915395021439, 1.2215319126844406, 1.1960842460393906, 1.1897665560245514, 1.143047958612442, 1.156547486782074, 1.0964383631944656, 1.0895643830299377, 1.0498548597097397, 1.0538254082202911, 1.0153537839651108, 0.9927992671728134, 0.9732385724782944, 0.9717258214950562, 0.9305340796709061, 0.9325019791722298, 0.9024711698293686, 0.8832540586590767, 0.8482640832662582, 0.8432252928614616, 0.8345571309328079, 0.8295056447386742, 0.802785761654377, 0.7935393899679184, 0.7581212967634201, 0.7687532678246498, 0.7350706532597542, 0.7348950952291489, 0.7279712483286858, 0.7005213797092438, 0.6927259787917137, 0.6826846301555634, 0.6552926227450371, 0.6525500416755676, 0.6493823155760765, 0.6444946527481079, 0.6284963935613632, 0.6150938868522644, 0.6134916841983795, 0.5865354463458061, 0.5638811364769936, 0.5827305465936661, 0.5720066428184509, 0.5713403150439262]"
4,1,128,256,,0.006346506353144062,removal,0,0.14736863997797078,759,mean,GATConv,512,1,50,neighbor,50,100,nearest_neighbors,0.9437932070934776,0.8649819494584837,0.854493580599144,0.8757309941520468,"[5.843705475330353, 5.5621954798698425, 5.507203578948975, 5.362346827983856, 5.147720515727997, 4.98447972536087, 4.951599061489105, 4.888795077800751, 4.747394025325775, 4.6610801219940186, 4.502149999141693, 4.38153076171875, 4.227434813976288, 4.128357231616974, 4.035835146903992, 3.9205433130264282, 3.862172484397888, 3.7952969670295715, 3.6258033215999603, 3.587490737438202, 3.434356063604355, 3.325793594121933, 3.2250626385211945, 3.1122127175331116, 3.017473489046097, 2.96237313747406, 2.881779223680496, 2.806343525648117, 2.695527970790863, 2.627450257539749, 2.545517683029175, 2.4437060952186584, 2.3610772490501404, 2.326079249382019, 2.2458327412605286, 2.2329790592193604, 2.1352430880069733, 2.044640928506851, 1.9962013065814972, 1.9665574431419373, 1.8880894780158997, 1.8244428932666779, 1.781523510813713, 1.7347556501626968, 1.6757924407720566, 1.6686204224824905, 1.5956228077411652, 1.5789026468992233, 1.5519862622022629, 1.510748416185379, 1.4599672853946686, 1.4148450195789337, 1.3601363152265549, 1.3299150913953781, 1.3000053614377975, 1.3046155124902725, 1.2502486854791641, 1.244341030716896, 1.1939849704504013, 1.1708170920610428, 1.1375589221715927, 1.1256727129220963, 1.09733347594738, 1.0596831440925598, 1.054841622710228, 1.0224423557519913, 0.9773307666182518, 0.9748024046421051, 0.9524907469749451, 0.9549582004547119, 0.9202385097742081, 0.8988209292292595, 0.8974519297480583, 0.888311579823494, 0.8403534814715385, 0.8532069027423859, 0.8297687545418739, 0.803886778652668, 0.7857266813516617, 0.7884467616677284, 0.7583441883325577, 0.7601549550890923, 0.7383313998579979, 0.7140394598245621, 0.714449018239975, 0.7096879407763481, 0.6736500561237335, 0.6762247011065483, 0.6677816808223724, 0.6461552679538727, 0.653076097369194, 0.6400300785899162, 0.6157068982720375, 0.6101009622216225, 0.6094479411840439, 0.5958759188652039, 0.5823718085885048, 0.5832237377762794, 0.5574579685926437, 0.5562597289681435]"
4,1,128,256,,0.006346506353144062,removal,0,0.14736863997797078,281,mean,GATConv,512,1,50,neighbor,50,100,nearest_neighbors,0.9440937781785392,0.866571018651363,0.8616262482168331,0.8715728715728716,"[6.027584493160248, 5.718366205692291, 5.69910603761673, 5.536840617656708, 5.354319453239441, 5.3319337368011475, 5.033662140369415, 5.109967291355133, 5.004489183425903, 4.689968049526215, 4.49001544713974, 4.577200949192047, 4.421736657619476, 4.352779150009155, 4.194736540317535, 4.035894274711609, 3.8286585807800293, 3.8418890237808228, 3.69841068983078, 3.5914922952651978, 3.5011463165283203, 3.4187301099300385, 3.2403384149074554, 3.207096815109253, 3.12920281291008, 3.051021307706833, 2.8998021483421326, 2.8862802386283875, 2.7382107973098755, 2.6769218742847443, 2.5997437238693237, 2.493938833475113, 2.4313347041606903, 2.3955398201942444, 2.295711725950241, 2.2092096507549286, 2.191359966993332, 2.1452381908893585, 2.0591912865638733, 1.9997774958610535, 1.9541361629962921, 1.8542800396680832, 1.8593321442604065, 1.8018335849046707, 1.7420400083065033, 1.7077347040176392, 1.624135822057724, 1.6145539432764053, 1.5543111860752106, 1.5298527926206589, 1.492948517203331, 1.4417875409126282, 1.4464471340179443, 1.3774932771921158, 1.3761375695466995, 1.3321161419153214, 1.299185886979103, 1.2842130213975906, 1.2075487226247787, 1.2056515961885452, 1.1789328157901764, 1.1428650170564651, 1.149563118815422, 1.1072340905666351, 1.0758876949548721, 1.0883533507585526, 1.0546891689300537, 1.0326309949159622, 0.9980531334877014, 0.9854326397180557, 0.9424453675746918, 0.9374303668737411, 0.9075955152511597, 0.900927871465683, 0.882342018187046, 0.8750100806355476, 0.8593902289867401, 0.841974675655365, 0.8149499893188477, 0.7909755855798721, 0.7975929379463196, 0.7781826928257942, 0.7683129087090492, 0.7502619475126266, 0.7448702827095985, 0.7335925176739693, 0.6986702457070351, 0.7004694268107414, 0.6980321407318115, 0.6741786152124405, 0.6660706773400307, 0.6516855657100677, 0.640619546175003, 0.6270914599299431, 0.6256172731518745, 0.5980462580919266, 0.6078719198703766, 0.6038103476166725, 0.5909551307559013, 0.5737458691000938]"
