alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,1,sum,1,0.939585211902615,0.8501118568232662,0.8131241084165478,0.890625
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,2,sum,1,0.941088067327923,0.8539493293591655,0.8174037089871612,0.8939157566302652
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,3,sum,1,0.9437932070934776,0.8617886178861789,0.8316690442225392,0.8941717791411042
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,4,sum,1,0.9443943492636009,0.8618371919342793,0.8231098430813124,0.9043887147335423
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,5,sum,1,0.9374812143071837,0.845925925925926,0.8145506419400856,0.8798151001540832
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,6,sum,1,0.9419897805831079,0.8562918838421445,0.8202567760342369,0.8956386292834891
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,7,sum,1,0.9389840697324917,0.8504053058216654,0.8231098430813124,0.8795731707317073
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,8,sum,1,0.9380823564773069,0.8480825958702065,0.8202567760342369,0.8778625954198473
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,9,sum,1,0.937180643222122,0.8427389014296464,0.7988587731811697,0.89171974522293
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,10,sum,1,0.9401863540727382,0.852264291017075,0.818830242510699,0.8885448916408669
