alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,15,1,256,256,,0.07156856993910324,0.5,0.8005959497288357,0.20467158894599624,1,sum,1,0.9233543733092876,0.8142753095411508,0.797432239657632,0.8318452380952381
0.5,15,1,256,256,,0.07156856993910324,0.5,0.8005959497288357,0.20467158894599624,2,sum,1,0.9323715058611362,0.8412138320395202,0.8502139800285307,0.8324022346368715
0.5,15,1,256,256,,0.07156856993910324,0.5,0.8005959497288357,0.20467158894599624,3,sum,1,0.931770363691013,0.8386638237384506,0.8416547788873039,0.8356940509915014
0.5,15,1,256,256,,0.07156856993910324,0.5,0.8005959497288357,0.20467158894599624,4,sum,1,0.9278629395852119,0.8321678321678322,0.8487874465049928,0.8161865569272977
0.5,15,1,256,256,,0.07156856993910324,0.5,0.8005959497288357,0.20467158894599624,5,sum,1,0.9296663660955816,0.832378223495702,0.8288159771754636,0.8359712230215828
