K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
4,2,16,2,,0.005,removal,0,0.142347,654,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[1.1299449801445007, 0.9246985614299774, 0.7605771422386169, 0.6431044340133667, 0.5894671976566315, 0.554348349571228, 0.5258125364780426, 0.4748721271753311, 0.4139725863933563, 0.38727380335330963, 0.3496168404817581, 0.3237786293029785, 0.3051297515630722, 0.2719608247280121, 0.24594463407993317, 0.2136419638991356, 0.18510592728853226, 0.158757284283638, 0.13377273827791214, 0.11276421323418617, 0.0954592227935791, 0.08081862330436707, 0.06599006615579128, 0.05542564578354359, 0.047032445669174194, 0.03993667848408222, 0.03473961539566517, 0.03091562446206808, 0.026241089217364788, 0.023823333904147148, 0.021097023971378803, 0.018369728699326515, 0.0163084059022367, 0.015363316051661968, 0.013482692651450634, 0.013474272564053535, 0.011985697783529758, 0.011026003863662481, 0.010583503171801567, 0.010416571516543627, 0.009553027339279652, 0.008932234719395638, 0.008433186449110508, 0.008379941107705235, 0.008742857724428177, 0.007258779834955931, 0.007136219181120396, 0.007369701750576496, 0.006907278439030051, 0.007080849725753069]",0.9166946590527376,0.504,0.358974358974359,0.8456375838926175
4,2,16,2,,0.005,removal,0,0.142347,114,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[1.40259450674057, 1.0357873439788818, 0.7859437763690948, 0.6630576848983765, 0.6054482161998749, 0.5639742314815521, 0.5684179961681366, 0.5061799734830856, 0.4499500095844269, 0.4214901030063629, 0.3784901350736618, 0.3482562005519867, 0.33686622977256775, 0.3222121000289917, 0.3116138279438019, 0.2934360057115555, 0.2794780731201172, 0.2648613974452019, 0.25281038135290146, 0.23703072220087051, 0.22220463305711746, 0.21648161858320236, 0.21326333284378052, 0.20465672761201859, 0.20235711336135864, 0.18854176998138428, 0.18179824948310852, 0.17609429359436035, 0.16478414833545685, 0.155004121363163, 0.14278873056173325, 0.13184038177132607, 0.1135970950126648, 0.09502993151545525, 0.07907157391309738, 0.06835303455591202, 0.061416029930114746, 0.054395897313952446, 0.04672743380069733, 0.04142731428146362, 0.036273447796702385, 0.03186633437871933, 0.02969979215413332, 0.026011464186012745, 0.024037236347794533, 0.02088399138301611, 0.01924161519855261, 0.01835640985518694, 0.017478512600064278, 0.01566855376586318]",0.9173664763184414,0.5138339920948617,0.37037037037037035,0.8387096774193549
4,2,16,2,,0.005,removal,0,0.142347,25,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[1.3675646781921387, 1.0484471321105957, 0.8070925772190094, 0.6620702147483826, 0.6132075786590576, 0.5934681594371796, 0.5472634732723236, 0.5020396113395691, 0.4554503858089447, 0.4108680933713913, 0.36369185149669647, 0.35001981258392334, 0.32736511528491974, 0.3148193955421448, 0.3045510947704315, 0.2912171483039856, 0.27482545375823975, 0.2613263726234436, 0.2442811280488968, 0.2293858304619789, 0.22104273736476898, 0.21169929206371307, 0.20617016404867172, 0.19313448667526245, 0.18628084659576416, 0.17093344777822495, 0.1579679325222969, 0.14524944126605988, 0.1226215735077858, 0.10991306230425835, 0.09745970368385315, 0.08431199938058853, 0.07553976401686668, 0.06948059424757957, 0.06173653341829777, 0.05687867850065231, 0.052242008969187737, 0.0457389522343874, 0.04113476164638996, 0.03918749839067459, 0.03523087128996849, 0.0318625895306468, 0.028153056278824806, 0.026031105779111385, 0.024053707718849182, 0.022833464667201042, 0.020289582200348377, 0.01973415445536375, 0.01855329144746065, 0.017662953585386276]",0.9103123950285522,0.45621181262729127,0.3190883190883191,0.8
4,2,16,2,,0.005,removal,0,0.142347,759,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[1.263872742652893, 0.946943461894989, 0.7383401691913605, 0.6218586564064026, 0.5753074288368225, 0.5383932143449783, 0.5129232853651047, 0.47444674372673035, 0.4214080572128296, 0.371510773897171, 0.3522474020719528, 0.32704463601112366, 0.3154387027025223, 0.30177393555641174, 0.2857363075017929, 0.2715603709220886, 0.25723230093717575, 0.23799705505371094, 0.21845072507858276, 0.19192878156900406, 0.17325833439826965, 0.14646315574645996, 0.12815305218100548, 0.10259484872221947, 0.09294889122247696, 0.0779145210981369, 0.070523951202631, 0.060050033032894135, 0.05034797824919224, 0.04377342015504837, 0.03738488256931305, 0.03288572374731302, 0.029165863059461117, 0.025921843014657497, 0.024174902588129044, 0.020190056413412094, 0.01827949844300747, 0.01686315704137087, 0.01590960891917348, 0.015228722244501114, 0.013999007642269135, 0.012699780985713005, 0.011779180727899075, 0.011391251813620329, 0.010585224721580744, 0.010603620205074549, 0.010515958536416292, 0.009987231343984604, 0.009530836250633001, 0.009443404618650675]",0.9143432986227746,0.5009784735812133,0.3646723646723647,0.8
4,2,16,2,,0.005,removal,0,0.142347,281,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[1.5808950662612915, 1.2242071628570557, 0.9351396858692169, 0.7433924674987793, 0.6366816163063049, 0.6064618527889252, 0.5987158417701721, 0.5743727087974548, 0.5363546162843704, 0.4994708299636841, 0.44474054872989655, 0.4113747626543045, 0.3781801760196686, 0.3527730703353882, 0.33481740951538086, 0.3282088041305542, 0.3062914162874222, 0.3060823380947113, 0.28375615179538727, 0.2691144347190857, 0.259028822183609, 0.24242041260004044, 0.23080291599035263, 0.2216992974281311, 0.2105981558561325, 0.2027333751320839, 0.19129866361618042, 0.1822211891412735, 0.16801635175943375, 0.1584683209657669, 0.1429295539855957, 0.13376116752624512, 0.11866415292024612, 0.10639053955674171, 0.09738509729504585, 0.08839481696486473, 0.07908083871006966, 0.07189212739467621, 0.06529413349926472, 0.060477014631032944, 0.054877592250704765, 0.050025954842567444, 0.04523816518485546, 0.04101722501218319, 0.03776911646127701, 0.036442749202251434, 0.033224135637283325, 0.03034228179603815, 0.028610778972506523, 0.02617029659450054]",0.9123278468256634,0.4573804573804574,0.31339031339031337,0.8461538461538461
