alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,1,sum,1,0.9383829275623685,0.851341551849166,0.8373751783166904,0.8657817109144543
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,2,sum,1,0.9422903516681695,0.8588235294117647,0.833095577746077,0.8861911987860395
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,3,sum,1,0.941088067327923,0.8567251461988304,0.8359486447931527,0.8785607196401799
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,4,sum,1,0.9428914938382927,0.8607038123167156,0.8373751783166904,0.8853695324283559
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,5,sum,1,0.9392846408175534,0.8521229868228404,0.8302425106990015,0.8751879699248121
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,6,sum,1,0.9437932070934776,0.863003663003663,0.8402282453637661,0.8870481927710844
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,7,sum,1,0.9383829275623685,0.851341551849166,0.8373751783166904,0.8657817109144543
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,8,sum,1,0.939585211902615,0.8531775018261505,0.833095577746077,0.874251497005988
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,9,sum,1,0.9398857829876766,0.8527245949926362,0.8259629101283881,0.8812785388127854
0.94,18,1,256,128,,0.3,0.5,0.27,0.13,10,sum,1,0.9404869251577999,0.8554744525547445,0.8359486447931527,0.8759342301943199
