alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,15,1,256,256,,0.09614935406213698,0.5,0.7945479156479793,0.2007975823355193,1,sum,1,0.9233543733092876,0.8202959830866807,0.8302425106990015,0.8105849582172702
0.5,15,1,256,256,,0.09614935406213698,0.5,0.7945479156479793,0.2007975823355193,2,sum,1,0.9305680793507665,0.8381219341275403,0.8530670470756063,0.8236914600550964
0.5,15,1,256,256,,0.09614935406213698,0.5,0.7945479156479793,0.2007975823355193,3,sum,1,0.9266606552449654,0.8252148997134671,0.8216833095577746,0.8287769784172662
0.5,15,1,256,256,,0.09614935406213698,0.5,0.7945479156479793,0.2007975823355193,4,sum,1,0.92936579501052,0.8357791754018169,0.8530670470756063,0.8191780821917808
0.5,15,1,256,256,,0.09614935406213698,0.5,0.7945479156479793,0.2007975823355193,5,sum,1,0.9269612263300271,0.8263045032165832,0.8245363766048502,0.828080229226361
