K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses
5,1,128,256,,0.0011934135840810096,removal,0,0.15324786329230472,654,sum,GATConv,10,1,True,100,0.9452960625187857,0.8692528735632183,0.8630527817403709,0.8755426917510853,"[9.151658773422241, 8.377558767795563, 8.137578308582306, 8.128780484199524, 8.15094530582428, 8.058294832706451, 8.180223822593689, 8.077460408210754, 8.133346617221832, 8.098794281482697, 7.931804060935974, 8.114150583744049, 8.11753386259079, 7.979337990283966, 7.8151750564575195, 7.865508735179901, 7.884701281785965, 7.694348514080048, 7.770389705896378, 7.708782434463501, 7.54614382982254, 7.62068971991539, 7.508746683597565, 7.568462312221527, 7.351105213165283, 7.669933050870895, 7.7318918108940125, 7.319187730550766, 7.377117931842804, 7.49809342622757, 7.628086686134338, 7.1857291758060455, 7.306181609630585, 7.113977491855621, 7.3368659019470215, 7.304172039031982, 7.32336813211441, 7.000855565071106, 7.181184411048889, 6.936099946498871, 6.94263568520546, 6.963874369859695, 6.711627423763275, 6.902889311313629, 6.904180109500885, 6.855344235897064, 6.717317581176758, 6.833154857158661, 6.634135276079178, 6.697330445051193]"
5,1,128,256,,0.0011934135840810096,removal,0,0.15324786329230472,114,sum,GATConv,10,1,True,100,0.9449954914337241,0.867870036101083,0.8573466476462197,0.8786549707602339,"[8.76966404914856, 7.780674159526825, 7.965419113636017, 7.868784546852112, 7.8984063267707825, 7.82148414850235, 7.802790880203247, 7.836054980754852, 7.753311395645142, 7.892640948295593, 7.599328458309174, 7.851968824863434, 7.751983344554901, 7.674956023693085, 7.484053730964661, 7.5005272924900055, 7.467025548219681, 7.343663334846497, 7.444326639175415, 7.402751445770264, 7.470834016799927, 7.353696972131729, 7.102960109710693, 7.3491737842559814, 7.0725995898246765, 7.454925060272217, 7.557766437530518, 7.046176701784134, 7.27754145860672, 7.185768961906433, 7.365255355834961, 7.056121200323105, 7.100486785173416, 7.07757905125618, 7.149777382612228, 7.066185176372528, 7.009245812892914, 6.8353694677352905, 6.930968463420868, 6.6773103177547455, 6.717699199914932, 6.739095628261566, 6.643925219774246, 6.6446221470832825, 6.604504346847534, 6.540351897478104, 6.419839978218079, 6.495944619178772, 6.424114286899567, 6.348359018564224]"
5,1,128,256,,0.0011934135840810096,removal,0,0.15324786329230472,25,sum,GATConv,10,1,True,100,0.9422903516681695,0.8618705035971223,0.854493580599144,0.8693759071117562,"[8.731564164161682, 7.745970845222473, 7.92937159538269, 7.8344637751579285, 7.858762204647064, 7.787766516208649, 7.777299344539642, 7.8013065457344055, 7.724830687046051, 7.869893968105316, 7.565889060497284, 7.816449403762817, 7.720109164714813, 7.644101202487946, 7.449575036764145, 7.470242828130722, 7.438663482666016, 7.313358306884766, 7.420858204364777, 7.371499061584473, 7.4380093812942505, 7.323342323303223, 7.068777501583099, 7.3175742626190186, 7.041697561740875, 7.422636985778809, 7.529375225305557, 7.0155065059661865, 7.249865651130676, 7.157113254070282, 7.335809946060181, 7.025617450475693, 7.07025471329689, 7.04512956738472, 7.118109792470932, 7.033313035964966, 6.981876492500305, 6.804917573928833, 6.903652012348175, 6.650521606206894, 6.687833398580551, 6.712005108594894, 6.619502663612366, 6.623000651597977, 6.579357087612152, 6.514879465103149, 6.394613862037659, 6.470658481121063, 6.405869394540787, 6.323051393032074]"
5,1,128,256,,0.0011934135840810096,removal,0,0.15324786329230472,759,sum,GATConv,10,1,True,100,0.939585211902615,0.8554996405463695,0.8487874465049928,0.8623188405797102,"[8.756867468357086, 7.763581216335297, 7.951525986194611, 7.853675842285156, 7.879745602607727, 7.8069727420806885, 7.787609696388245, 7.822859227657318, 7.73804098367691, 7.877227246761322, 7.585725426673889, 7.837465226650238, 7.740729868412018, 7.6602174043655396, 7.469833254814148, 7.487079054117203, 7.45277327299118, 7.32910543680191, 7.430688440799713, 7.388018071651459, 7.457992434501648, 7.339054346084595, 7.085476934909821, 7.3330782651901245, 7.060356318950653, 7.439560115337372, 7.546239405870438, 7.031422942876816, 7.265442609786987, 7.171874165534973, 7.351719975471497, 7.04204997420311, 7.087527364492416, 7.061424642801285, 7.1354992389678955, 7.04954195022583, 6.99698406457901, 6.820060312747955, 6.918054401874542, 6.665892273187637, 6.702567398548126, 6.727153658866882, 6.63191032409668, 6.630427241325378, 6.589527904987335, 6.527481764554977, 6.407840549945831, 6.483054995536804, 6.4122240245342255, 6.334830164909363]"
5,1,128,256,,0.0011934135840810096,removal,0,0.15324786329230472,281,sum,GATConv,10,1,True,100,0.9446949203486624,0.8681948424068768,0.8644793152639088,0.8719424460431655,"[8.774613201618195, 7.780137419700623, 7.958859860897064, 7.869820713996887, 7.896746933460236, 7.825272917747498, 7.803549945354462, 7.839599430561066, 7.7548569440841675, 7.897401213645935, 7.601621031761169, 7.849429488182068, 7.753065407276154, 7.675942957401276, 7.4743123054504395, 7.499737620353699, 7.4691033363342285, 7.344836473464966, 7.445148944854736, 7.406511425971985, 7.472798764705658, 7.356131345033646, 7.1036999225616455, 7.3530383706092834, 7.0759299993515015, 7.456623792648315, 7.560982048511505, 7.04807236790657, 7.2829959988594055, 7.181375026702881, 7.366086006164551, 7.047585338354111, 7.101108133792877, 7.078731417655945, 7.151327580213547, 7.064897239208221, 7.0131489634513855, 6.832149684429169, 6.932315111160278, 6.679006785154343, 6.717996716499329, 6.7328879833221436, 6.64475753903389, 6.646009564399719, 6.605117321014404, 6.542224854230881, 6.420625567436218, 6.496346831321716, 6.423372328281403, 6.347928941249847]"
