K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,2,16,1,,0.005,removal,0,0.09988174354633943,654,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5027472376823425, 0.44514650106430054, 0.3892029821872711, 0.3351621627807617, 0.28738683462142944, 0.24779273569583893, 0.21575646102428436, 0.18914389610290527, 0.1659572273492813, 0.14442121982574463, 0.1309884488582611, 0.11933198571205139, 0.10572421550750732, 0.09119401127099991, 0.07655416429042816, 0.06322602182626724, 0.05176557973027229, 0.04216473549604416, 0.0457194522023201, 0.046678751707077026, 0.040119510143995285, 0.027939245104789734, 0.025748638436198235, 0.025026489049196243, 0.02406010776758194, 0.022968346253037453, 0.021828170865774155, 0.020719867199659348, 0.019634397700428963, 0.01857999712228775, 0.017618969082832336, 0.01668001338839531, 0.015803003683686256, 0.01495678722858429, 0.014124661684036255, 0.013243586756289005, 0.012593086808919907, 0.012073434889316559, 0.011641550809144974, 0.01128397323191166, 0.010969368740916252, 0.010678370483219624, 0.01038533914834261, 0.01008666306734085, 0.009785868227481842, 0.009477755054831505, 0.00917080044746399, 0.008879674598574638, 0.008615226484835148, 0.008392523974180222]",0.9127706306871666,0.7411545623836127,0.7094474153297683,0.7758284600389863
1,2,16,1,,0.005,removal,0,0.09988174354633943,114,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4958808422088623, 0.424460232257843, 0.3487924039363861, 0.285435289144516, 0.23964408040046692, 0.20854584872722626, 0.18672692775726318, 0.169285848736763, 0.15893203020095825, 0.1509491205215454, 0.13985872268676758, 0.1267952024936676, 0.1131681427359581, 0.10006482154130936, 0.0879434198141098, 0.07654881477355957, 0.06571093201637268, 0.05543952435255051, 0.04618817940354347, 0.0381869375705719, 0.03232599422335625, 0.03430779650807381, 0.02878621593117714, 0.02258460596203804, 0.021013570949435234, 0.01936940662562847, 0.01773115247488022, 0.01610783487558365, 0.01453524362295866, 0.013092662207782269, 0.01195661909878254, 0.011058284901082516, 0.010316223837435246, 0.009707806631922722, 0.009210743010044098, 0.00881254393607378, 0.008481748402118683, 0.008194414898753166, 0.007929198443889618, 0.007675169967114925, 0.007420693524181843, 0.0071565075777471066, 0.008595788851380348, 0.006804730277508497, 0.006710574496537447, 0.006615445949137211, 0.006527013145387173, 0.00644359877333045, 0.006365557201206684, 0.006276682019233704]",0.9008471917163476,0.6901960784313725,0.6274509803921569,0.7668845315904139
1,2,16,1,,0.005,removal,0,0.09988174354633943,25,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5025575757026672, 0.45565807819366455, 0.41176295280456543, 0.36670541763305664, 0.32263898849487305, 0.28149858117103577, 0.24463047087192535, 0.21200186014175415, 0.1827845275402069, 0.1561710685491562, 0.13148342072963715, 0.11015813052654266, 0.09763970226049423, 0.0837772861123085, 0.0696314126253128, 0.05624489486217499, 0.04426546394824982, 0.04110557213425636, 0.03862014412879944, 0.029345840215682983, 0.02251538075506687, 0.02026606909930706, 0.017794962972402573, 0.015371594578027725, 0.013227593153715134, 0.011430663987994194, 0.009914928115904331, 0.00862472876906395, 0.007546714507043362, 0.00663140881806612, 0.005866096355021, 0.005234092939645052, 0.004720169585198164, 0.00431240675970912, 0.003996542189270258, 0.0037569431588053703, 0.004328468814492226, 0.003559026401489973, 0.0035421778447926044, 0.003526129061356187, 0.0035097335930913687, 0.0034914191346615553, 0.0034740508999675512, 0.0034537045285105705, 0.003431824967265129, 0.0034069663379341364, 0.0033799835946410894, 0.0033492872025817633, 0.00331481103785336, 0.0032737553119659424]",0.8933165986821462,0.6509240246406571,0.5650623885918004,0.7675544794188862
