K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
4,1,256,256,,0.005,removal,0,0.142347,654,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[2.9237996339797974, 2.7424315214157104, 2.7129451036453247, 2.698309302330017, 2.688826084136963, 2.6924647092819214, 2.734593152999878, 2.6651148796081543, 2.668286085128784, 2.616651177406311, 2.574355721473694, 2.6153383255004883, 2.6355950832366943, 2.7386252880096436, 2.624175786972046, 2.6314938068389893, 2.5993564128875732, 2.5417897701263428, 2.5300372838974, 2.5220773220062256, 2.557934880256653, 2.5727773904800415, 2.4782562255859375, 2.509474992752075, 2.5014082193374634, 2.451250433921814, 2.5502262115478516, 2.4527275562286377, 2.4464000463485718, 2.443277597427368, 2.439083218574524, 2.4255354404449463, 2.42710018157959, 2.3595328330993652, 2.3434923887252808, 2.398124098777771, 2.377708911895752, 2.3593024015426636, 2.3289953470230103, 2.3075603246688843, 2.32112193107605, 2.2701079845428467, 2.3062504529953003, 2.3229726552963257, 2.2704113721847534, 2.275818943977356, 2.2409452199935913, 2.3104406595230103, 2.201261878013611, 2.1715022325515747]",0.9361773597581458,0.7181008902077152,0.6894586894586895,0.7492260061919505
4,1,256,256,,0.005,removal,0,0.142347,114,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.1824294328689575, 3.018813133239746, 3.0095343589782715, 2.9695628881454468, 2.899574637413025, 2.950986385345459, 2.949357748031616, 2.8836233615875244, 2.9484152793884277, 2.893752932548523, 2.9058480262756348, 2.9254062175750732, 2.858865261077881, 2.8365612030029297, 2.8283281326293945, 2.81718647480011, 2.831583857536316, 2.7920788526535034, 2.812217354774475, 2.811914563179016, 2.8154704570770264, 2.8435345888137817, 2.7785147428512573, 2.8181824684143066, 2.74546480178833, 2.748742699623108, 2.7594852447509766, 2.6710686683654785, 2.699587345123291, 2.7787762880325317, 2.7067904472351074, 2.602914333343506, 2.6579043865203857, 2.602052688598633, 2.6880812644958496, 2.6086459159851074, 2.616687536239624, 2.5711504220962524, 2.580910086631775, 2.5599576234817505, 2.54172146320343, 2.54009473323822, 2.481786847114563, 2.4832324981689453, 2.4343209266662598, 2.4877649545669556, 2.471278190612793, 2.4273587465286255, 2.4250253438949585, 2.406787157058716]",0.9378569029224051,0.7291361639824304,0.7094017094017094,0.75
4,1,256,256,,0.005,removal,0,0.142347,25,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[3.159155488014221, 3.0552780628204346, 2.920922636985779, 2.9975216388702393, 2.9487959146499634, 2.9914345741271973, 2.9029767513275146, 2.8822327852249146, 2.819841742515564, 2.8770276308059692, 2.8872954845428467, 2.7560309171676636, 2.85127854347229, 2.830630898475647, 2.822847843170166, 2.740228295326233, 2.7765960693359375, 2.750550150871277, 2.7647523880004883, 2.7618815898895264, 2.702626585960388, 2.7563964128494263, 2.7242772579193115, 2.6623952388763428, 2.6989017724990845, 2.711325168609619, 2.704719662666321, 2.6677547693252563, 2.6154178380966187, 2.6253401041030884, 2.621337413787842, 2.5880250930786133, 2.622390031814575, 2.6228543519973755, 2.6088500022888184, 2.5435335636138916, 2.483289957046509, 2.4731427431106567, 2.534032106399536, 2.4783518314361572, 2.4567309617996216, 2.4718366861343384, 2.5043011903762817, 2.484683394432068, 2.4293723106384277, 2.454988956451416, 2.4506701231002808, 2.400380253791809, 2.37578022480011, 2.3705779314041138]",0.9351696338595902,0.7182481751824817,0.7008547008547008,0.7365269461077845
