alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,1,sum,1,0.933273219116321,0.8432203389830508,0.8516405135520685,0.8349650349650349
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,2,sum,1,0.937180643222122,0.8539482879105521,0.8716119828815977,0.836986301369863
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,3,sum,1,0.9368800721370604,0.8531468531468531,0.8701854493580599,0.8367626886145405
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,4,sum,1,0.943492636008416,0.867231638418079,0.8758915834522111,0.8587412587412587
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,5,sum,1,0.92936579501052,0.8360083740404746,0.854493580599144,0.8183060109289617
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,6,sum,1,0.9377817853922452,0.8535031847133758,0.8601997146932953,0.8469101123595506
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,7,sum,1,0.9302675082657048,0.8386648122392212,0.8601997146932953,0.8181818181818182
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,8,sum,1,0.9326720769461978,0.842031029619182,0.8516405135520685,0.8326359832635983
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,9,sum,1,0.9260595130748422,0.827247191011236,0.8402282453637661,0.8146611341632088
0.5,19,1,256,256,,0.3,0.5,0.27,0.15,10,sum,1,0.9392846408175534,0.8581460674157303,0.8716119828815977,0.8450899031811895
