alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,1,sum,1,0.9341749323715058,0.8441281138790035,0.8459343794579173,0.8423295454545454
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,2,sum,1,0.9383829275623685,0.8538845331432644,0.854493580599144,0.8532763532763533
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,3,sum,1,0.9341749323715058,0.841648590021692,0.8302425106990015,0.8533724340175953
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,4,sum,1,0.937180643222122,0.8508208422555318,0.8502139800285307,0.8514285714285714
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,5,sum,1,0.9335737902013826,0.8429282160625444,0.8459343794579173,0.839943342776204
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,6,sum,1,0.9320709347760745,0.8394886363636364,0.8430813124108416,0.8359264497878359
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,7,sum,1,0.9320709347760745,0.8390313390313391,0.8402282453637661,0.8378378378378378
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,8,sum,1,0.9320709347760745,0.839943342776204,0.8459343794579173,0.8340365682137834
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,9,sum,1,0.9338743612864443,0.8410404624277457,0.8302425106990015,0.8521229868228404
0.5,19,1,128,128,,0.3,0.5,0.27,0.15,10,sum,1,0.9347760745416291,0.8448892065761258,0.8430813124108416,0.8467048710601719
