alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.5,15,2,256,128,,0.3482887207404581,0.5,0.908879508379043,0.18287970211117888,1,sum,1,0.9299669371806433,0.837630662020906,0.8573466476462197,0.8188010899182562
0.5,15,2,256,128,,0.3482887207404581,0.5,0.908879508379043,0.18287970211117888,2,sum,1,0.9335737902013826,0.8470588235294118,0.8730385164051355,0.8225806451612904
0.5,15,2,256,128,,0.3482887207404581,0.5,0.908879508379043,0.18287970211117888,3,sum,1,0.9383829275623685,0.8583275742916379,0.8858773181169758,0.8324396782841823
0.5,15,2,256,128,,0.3482887207404581,0.5,0.908879508379043,0.18287970211117888,4,sum,1,0.9362789299669372,0.8517482517482518,0.8687589158345221,0.8353909465020576
0.5,15,2,256,128,,0.3482887207404581,0.5,0.908879508379043,0.18287970211117888,5,sum,1,0.9311692215208897,0.841522491349481,0.8673323823109843,0.8172043010752689
