K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses
3,1,128,256,,0.0022417908939248547,removal,0,0.13195813206769644,654,mean,GATConv,15,9,True,100,0.9398857829876766,0.8520710059171598,0.8216833095577746,0.8847926267281107,"[4.517471492290497, 4.080274403095245, 4.145872354507446, 4.09669429063797, 3.9818512201309204, 3.966134876012802, 4.008090108633041, 3.942229390144348, 3.9516541957855225, 4.004540234804153, 3.801492214202881, 3.9004471600055695, 3.8876187801361084, 3.764551967382431, 3.7036278545856476, 3.73049333691597, 3.651810050010681, 3.597750276327133, 3.6370241045951843, 3.6216867864131927, 3.564754992723465, 3.5556886792182922, 3.4752855002880096, 3.321328580379486, 3.3684950172901154, 3.588765323162079, 3.407844066619873, 3.384094148874283, 3.4174692630767822, 3.3534410893917084, 3.267960488796234, 3.239499270915985, 3.1843844652175903, 3.1247737109661102, 3.157828986644745, 3.0605389177799225, 3.174114227294922, 2.993853271007538, 3.0312009155750275, 2.9509067833423615, 2.942871004343033, 2.917930990457535, 2.8642658591270447, 2.8764540553092957, 2.8123328387737274, 2.8365001380443573, 2.7185829877853394, 2.829900234937668, 2.71125528216362, 2.6951176822185516]"
3,1,128,256,,0.0022417908939248547,removal,0,0.13195813206769644,114,mean,GATConv,15,9,True,100,0.9440937781785392,0.861812778603269,0.8273894436519258,0.8992248062015504,"[4.734677731990814, 4.389970302581787, 4.344680666923523, 4.405930757522583, 4.406479775905609, 4.34037858247757, 4.325522482395172, 4.358979880809784, 4.10180851817131, 4.190832853317261, 4.061743587255478, 4.209154307842255, 4.279803782701492, 4.0181081891059875, 3.949186146259308, 4.022279679775238, 4.02657413482666, 3.8435923159122467, 3.864830732345581, 3.8318474292755127, 3.785477727651596, 3.8002279102802277, 3.670378029346466, 3.6847596168518066, 3.676496207714081, 3.770541250705719, 3.6965138018131256, 3.679907202720642, 3.562651365995407, 3.48767426609993, 3.651742458343506, 3.512142777442932, 3.5300713181495667, 3.546202003955841, 3.3909468352794647, 3.317083030939102, 3.305120348930359, 3.2936346232891083, 3.229506701231003, 3.32682603597641, 3.080310881137848, 3.30590158700943, 3.0833773612976074, 3.166795402765274, 3.0470134615898132, 3.033443570137024, 2.920731097459793, 2.9370153546333313, 2.9382151663303375, 2.946263402700424]"
3,1,128,256,,0.0022417908939248547,removal,0,0.13195813206769644,25,mean,GATConv,15,9,True,100,0.9425909227532311,0.8575689783743475,0.8202567760342369,0.8984375,"[4.726464927196503, 4.381247103214264, 4.3359182476997375, 4.4023860692977905, 4.397089302539825, 4.331860423088074, 4.316408693790436, 4.35319909453392, 4.094882041215897, 4.185446858406067, 4.05293932557106, 4.202107191085815, 4.2694680988788605, 4.012927412986755, 3.942004919052124, 4.016919434070587, 4.0223983228206635, 3.8351809084415436, 3.8558021187782288, 3.8233931362628937, 3.7780058085918427, 3.795078843832016, 3.6631915867328644, 3.678657591342926, 3.667465090751648, 3.7646937370300293, 3.6897691190242767, 3.671022057533264, 3.553803890943527, 3.480795532464981, 3.644034743309021, 3.507687211036682, 3.5266333520412445, 3.537419945001602, 3.381448656320572, 3.3123922646045685, 3.3011314272880554, 3.2869822084903717, 3.223790407180786, 3.3212271630764008, 3.074171781539917, 3.2996353805065155, 3.0813578069210052, 3.159682720899582, 3.041465163230896, 3.0293339788913727, 2.916953295469284, 2.930105745792389, 2.928239166736603, 2.9381443858146667]"
3,1,128,256,,0.0022417908939248547,removal,0,0.13195813206769644,759,mean,GATConv,15,9,True,100,0.9437932070934776,0.8611729769858946,0.8273894436519258,0.8978328173374613,"[4.735645890235901, 4.3900468945503235, 4.345048129558563, 4.408535063266754, 4.40641987323761, 4.341502070426941, 4.321633040904999, 4.3603798151016235, 4.102344065904617, 4.194175660610199, 4.059739351272583, 4.209078401327133, 4.279012501239777, 4.021346747875214, 3.947222352027893, 4.02387011051178, 4.026106357574463, 3.8402585089206696, 3.865136742591858, 3.8304094076156616, 3.7852704226970673, 3.7988847196102142, 3.6692302525043488, 3.6846600770950317, 3.67624169588089, 3.771898478269577, 3.6951427161693573, 3.678268313407898, 3.562876969575882, 3.488540768623352, 3.6526740193367004, 3.513649344444275, 3.531244218349457, 3.5452452301979065, 3.3894589245319366, 3.3182950019836426, 3.3037036061286926, 3.294161021709442, 3.228107452392578, 3.3264198303222656, 3.0817640125751495, 3.3049428462982178, 3.0857498943805695, 3.1655613481998444, 3.0464415848255157, 3.034926623106003, 2.9230307936668396, 2.936047613620758, 2.9358080327510834, 2.9448727667331696]"
3,1,128,256,,0.0022417908939248547,removal,0,0.13195813206769644,281,mean,GATConv,15,9,True,100,0.9437932070934776,0.8603435399551904,0.8216833095577746,0.9028213166144201,"[4.7478901743888855, 4.39893114566803, 4.351758986711502, 4.41740295290947, 4.414924144744873, 4.349974036216736, 4.3317341804504395, 4.369730979204178, 4.110984921455383, 4.202275037765503, 4.07016858458519, 4.216789990663528, 4.286279737949371, 4.028283208608627, 3.955084413290024, 4.0314589738845825, 4.034351587295532, 3.8494085669517517, 3.8731769025325775, 3.8395817577838898, 3.7946285009384155, 3.8083407282829285, 3.676297754049301, 3.6928670406341553, 3.6818099915981293, 3.7788950204849243, 3.702578544616699, 3.684740334749222, 3.569277197122574, 3.49650576710701, 3.6591101586818695, 3.5207340717315674, 3.5382531583309174, 3.552995443344116, 3.393878996372223, 3.323567718267441, 3.3112478256225586, 3.2986483573913574, 3.2357195913791656, 3.3334096670150757, 3.0875828862190247, 3.3103708624839783, 3.0908428132534027, 3.1715883314609528, 3.0517593026161194, 3.0394648611545563, 2.927597254514694, 2.9409173727035522, 2.942546546459198, 2.9505633115768433]"
