alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,1,sum,1,0.9386834986474302,0.8484398216939079,0.8145506419400856,0.8852713178294573
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,2,sum,1,0.9407874962428614,0.8535315985130112,0.818830242510699,0.8913043478260869
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,3,sum,1,0.9413886384129847,0.8558758314855875,0.8259629101283881,0.8880368098159509
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,4,sum,1,0.9440937781785392,0.8607784431137725,0.8202567760342369,0.905511811023622
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,5,sum,1,0.9368800721370604,0.8446745562130178,0.8145506419400856,0.8771121351766513
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,6,sum,1,0.9413886384129847,0.8554484803558191,0.8231098430813124,0.8904320987654321
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,7,sum,1,0.9392846408175534,0.8501483679525222,0.8174037089871612,0.8856259659969088
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,8,sum,1,0.9386834986474302,0.8504398826979472,0.8273894436519258,0.8748114630467572
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,9,sum,1,0.9383829275623685,0.8466716529543755,0.8074179743223966,0.889937106918239
0.94,18,1,256,128,,0.3,0.5,0.27,0.1179,10,sum,1,0.9389840697324917,0.8490706319702602,0.8145506419400856,0.8866459627329193
