K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,2,16,1,,0.005,removal,0,1.0001525716927033,654,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.496593713760376, 0.4954751133918762, 0.4943747818470001, 0.4932634234428406, 0.49207162857055664, 0.4906897246837616, 0.48911693692207336, 0.4873775839805603, 0.4854857325553894, 0.48347386717796326, 0.48136523365974426, 0.47912704944610596, 0.4767345190048218, 0.4741887152194977, 0.47147098183631897, 0.46859708428382874, 0.4655608534812927, 0.4623691141605377, 0.459022581577301, 0.4555152654647827, 0.4518391788005829, 0.44798755645751953, 0.4439549148082733, 0.4397474527359009, 0.43537089228630066, 0.4308265447616577, 0.4261060357093811, 0.42121535539627075, 0.41616785526275635, 0.4109653830528259, 0.4055887460708618, 0.4000755250453949, 0.3944169580936432, 0.3886067271232605, 0.38269364833831787, 0.3766399025917053, 0.3704974055290222, 0.3642321228981018, 0.3579084277153015, 0.3515094518661499, 0.3450489342212677, 0.3385452926158905, 0.3320109248161316, 0.3254510760307312, 0.31891781091690063, 0.31240612268447876, 0.30588647723197937, 0.29945459961891174, 0.293066143989563, 0.2867559790611267]",0.8244502186450345,0.5922873123344127,0.5110490220980441,0.704235211760588
1,2,16,1,,0.005,removal,0,1.0001525716927033,114,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5090967416763306, 0.5073846578598022, 0.505694568157196, 0.5041214227676392, 0.5025960206985474, 0.5009125471115112, 0.499027281999588, 0.496940940618515, 0.49469202756881714, 0.49228036403656006, 0.48970019817352295, 0.4869336485862732, 0.48399439454078674, 0.4808804392814636, 0.4775835871696472, 0.4741010069847107, 0.47041749954223633, 0.466541051864624, 0.4624719023704529, 0.4582158923149109, 0.45376890897750854, 0.44914379715919495, 0.444330632686615, 0.43933987617492676, 0.43417471647262573, 0.42882439494132996, 0.423337459564209, 0.4176839590072632, 0.41190290451049805, 0.40599045157432556, 0.39997535943984985, 0.3938608169555664, 0.3876554071903229, 0.3813921809196472, 0.37510615587234497, 0.36875754594802856, 0.36241596937179565, 0.35605907440185547, 0.3497324585914612, 0.3434183597564697, 0.3371352255344391, 0.3308951258659363, 0.3247131109237671, 0.3185802102088928, 0.31249457597732544, 0.3064807057380676, 0.3005557060241699, 0.29465556144714355, 0.2888614535331726, 0.28312164545059204]",0.8098738830090627,0.49899799599198397,0.3794767589535179,0.7284251584592881
1,2,16,1,,0.005,removal,0,1.0001525716927033,25,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.48994600772857666, 0.48808300495147705, 0.4863211214542389, 0.4844604432582855, 0.48254188895225525, 0.48049992322921753, 0.4782150089740753, 0.4756876230239868, 0.47290486097335815, 0.46990373730659485, 0.4667285978794098, 0.46339595317840576, 0.4599466025829315, 0.4563634991645813, 0.45263224840164185, 0.4487627446651459, 0.44473910331726074, 0.4405664801597595, 0.4362349808216095, 0.4317740201950073, 0.42717328667640686, 0.4224516749382019, 0.41763025522232056, 0.4127010107040405, 0.407670795917511, 0.40254947543144226, 0.39734429121017456, 0.39205557107925415, 0.38670724630355835, 0.3812806308269501, 0.37580886483192444, 0.37029409408569336, 0.3647322654724121, 0.3591211438179016, 0.3534775972366333, 0.3478007912635803, 0.3420979380607605, 0.3363574743270874, 0.3305937945842743, 0.32482200860977173, 0.3190044164657593, 0.31317979097366333, 0.3073408007621765, 0.3015166223049164, 0.2956997752189636, 0.2899072766304016, 0.28412896394729614, 0.2784122824668884, 0.272746741771698, 0.26716846227645874]",0.8174789276887001,0.5419847328244275,0.4328168656337313,0.7247979583156103
