K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses
18,2,256,256,,0.004656019994997058,removal,0,0.28119980127387506,654,mean,GCNConv,10,6,200,cluster,100,nearest_neighbors,0.8924278541360248,0.8620308332791258,0.8413968253968254,0.8837023206188317,"[26.621609330177307, 26.9073349237442, 26.778882145881653, 26.800081253051758, 25.799800753593445, 25.79313826560974, 25.395348370075226, 25.4336154460907, 24.806987404823303, 23.27571725845337, 22.33696097135544, 22.021778881549835, 20.37130743265152, 18.787293553352356, 17.31032532453537, 16.309930443763733, 14.815351128578186, 13.874699234962463, 12.34607058763504, 11.269338190555573, 10.41298845410347, 9.52747330069542, 8.679139822721481, 8.091331601142883, 7.466072142124176, 6.900613844394684, 6.492818981409073, 6.048764482140541, 5.695126637816429, 5.392550557851791, 4.974919959902763, 4.781829252839088, 4.461725145578384, 4.273856937885284, 4.11418704688549, 3.772908851504326, 3.6062088012695312, 3.4988506734371185, 3.309751570224762, 3.153372898697853, 2.985976792871952, 2.893393449485302, 2.7837311178445816, 2.6691346764564514, 2.552223354578018, 2.4548137858510017, 2.4417064115405083, 2.289399892091751, 2.17880617082119, 2.177654668688774, 2.0385702699422836, 1.993346430361271, 1.9086218476295471, 1.8452818915247917, 1.787820428609848, 1.7128600254654884, 1.700068287551403, 1.6095146760344505, 1.5728004314005375, 1.5136632844805717, 1.4812699109315872, 1.4541403390467167, 1.3970063664019108, 1.3735222034156322, 1.3392999358475208, 1.3147485256195068, 1.2398379184305668, 1.2239718101918697, 1.1773201301693916, 1.1527202725410461, 1.1420932188630104, 1.0907917581498623, 1.0821542292833328, 1.0633762925863266, 1.019220296293497, 0.9990807883441448, 0.9748686961829662, 0.9398167617619038, 0.9257491119205952, 0.9093302860856056, 0.8762473538517952, 0.8684290237724781, 0.8626786731183529, 0.8388864360749722, 0.8159882593899965, 0.7944327406585217, 0.7857827767729759, 0.7554344031959772, 0.7352742105722427, 0.7301118392497301, 0.7054007574915886, 0.695790009573102, 0.6838844642043114, 0.6706071104854345, 0.6481672562658787, 0.6438682097941637, 0.6278742980211973, 0.6145992018282413, 0.608148530125618, 0.6014492698013783]"
18,2,256,256,,0.004656019994997058,removal,0,0.28119980127387506,114,mean,GCNConv,10,6,200,cluster,100,nearest_neighbors,0.900441243596896,0.873575062793843,0.8612063492063492,0.8863042341871407,"[25.74918496608734, 25.971858024597168, 27.217319011688232, 25.274736285209656, 26.220448970794678, 25.16390323638916, 24.82008320093155, 24.752320051193237, 24.66331934928894, 23.19905811548233, 22.087948441505432, 20.847243010997772, 19.68226307630539, 18.03355050086975, 16.936476349830627, 15.440032601356506, 14.440231263637543, 13.537472426891327, 11.851599097251892, 10.974629670381546, 10.140001475811005, 9.348637819290161, 8.46789026260376, 7.936595946550369, 7.1920203268527985, 6.771766513586044, 6.315920799970627, 5.844281762838364, 5.663054510951042, 5.431203618645668, 4.858652681112289, 4.499207466840744, 4.33052185177803, 4.211105599999428, 3.874266505241394, 3.697792708873749, 3.5227315574884415, 3.4060125648975372, 3.2139763832092285, 3.0760435312986374, 2.942307658493519, 2.7955226004123688, 2.704162061214447, 2.55362755805254, 2.4727151319384575, 2.370178744196892, 2.325133800506592, 2.2281065359711647, 2.1405412778258324, 2.0825227722525597, 1.9480840787291527, 1.906616359949112, 1.8667676746845245, 1.807847447693348, 1.7479156702756882, 1.6848079636693, 1.6679021790623665, 1.583473064005375, 1.535340003669262, 1.4925655648112297, 1.448351677507162, 1.401438858360052, 1.3472287058830261, 1.3397584930062294, 1.274158526211977, 1.2386139333248138, 1.2249750308692455, 1.1823188439011574, 1.1608020588755608, 1.127915345132351, 1.1032709293067455, 1.0697775557637215, 1.0443516224622726, 1.0287882797420025, 0.9973795004189014, 0.977946650236845, 0.9532219618558884, 0.939565259963274, 0.9106457531452179, 0.8721894733607769, 0.8771030362695456, 0.8292627930641174, 0.8170373942703009, 0.8128256760537624, 0.7893472388386726, 0.794537428766489, 0.7736627589911222, 0.7463996186852455, 0.7228524815291166, 0.7083541769534349, 0.7003730181604624, 0.6821798551827669, 0.6696150563657284, 0.6617884412407875, 0.6502481158822775, 0.6365639548748732, 0.6148506626486778, 0.6166086904704571, 0.6123418565839529, 0.5843345727771521]"
18,2,256,256,,0.004656019994997058,removal,0,0.28119980127387506,25,mean,GCNConv,10,6,200,cluster,100,nearest_neighbors,0.8944565603286504,0.8664227485717954,0.857015873015873,0.8760384215991692,"[26.841748356819153, 26.294257164001465, 26.102150976657867, 25.46347212791443, 25.509575724601746, 25.87763398885727, 24.91197770833969, 24.26504373550415, 24.336048901081085, 24.357371926307678, 23.01029473543167, 21.27391803264618, 19.914521872997284, 18.5618537068367, 17.46727216243744, 16.08874660730362, 14.660473585128784, 13.570107758045197, 12.616415530443192, 11.079281777143478, 10.251185774803162, 9.706750601530075, 8.756980419158936, 8.028073221445084, 7.465038061141968, 6.934562981128693, 6.548662513494492, 6.080534040927887, 5.7502471357584, 5.312437951564789, 4.988956958055496, 4.737210214138031, 4.481569468975067, 4.289021849632263, 4.052812933921814, 3.908739060163498, 3.703142300248146, 3.508103683590889, 3.274089142680168, 3.2251242250204086, 3.0365004166960716, 2.924806147813797, 2.756308861076832, 2.6986642479896545, 2.537203475832939, 2.477559842169285, 2.3867875561118126, 2.2824420109391212, 2.1655696853995323, 2.135087378323078, 2.073447711765766, 1.9880298301577568, 1.9117537811398506, 1.8343356847763062, 1.8338599056005478, 1.7227352187037468, 1.7130529507994652, 1.6258210837841034, 1.562498189508915, 1.5505459532141685, 1.4858157336711884, 1.450463693588972, 1.376704353839159, 1.3597566820681095, 1.3240766748785973, 1.286365058273077, 1.2434768788516521, 1.2144012078642845, 1.1818569526076317, 1.1590858064591885, 1.1310211829841137, 1.0964953675866127, 1.0582420192658901, 1.0240720361471176, 1.0201396942138672, 0.9984584785997868, 0.9768894985318184, 0.9583788625895977, 0.9248061738908291, 0.901698388159275, 0.9015266485512257, 0.8887736350297928, 0.8643241301178932, 0.835671927779913, 0.8148807436227798, 0.789273101836443, 0.7898869272321463, 0.7688186578452587, 0.747377859428525, 0.7301794700324535, 0.7194752711802721, 0.7083774860948324, 0.6785656325519085, 0.6695334650576115, 0.6558251958340406, 0.6450607795268297, 0.6260199639946222, 0.6124952975660563, 0.6060181371867657, 0.5981420576572418]"
18,2,256,256,,0.004656019994997058,removal,0,0.28119980127387506,759,mean,GCNConv,10,6,200,cluster,100,nearest_neighbors,0.9001876553228179,0.8722741433021807,0.8533333333333334,0.8920748705694942,"[27.5875723361969, 27.281351923942566, 26.41801917552948, 27.061310529708862, 26.13588523864746, 26.479227304458618, 26.040498971939087, 25.34176456928253, 24.8154776096344, 24.30153888463974, 22.91623419523239, 22.152422189712524, 21.019182443618774, 19.858005046844482, 17.987597703933716, 16.384078443050385, 15.226874947547913, 13.785821616649628, 13.022590577602386, 11.67941889166832, 10.605828702449799, 9.951848089694977, 9.08490189909935, 8.315854251384735, 7.62787139415741, 7.173804670572281, 6.576917588710785, 6.182718753814697, 5.838133230805397, 5.441191017627716, 5.161305278539658, 4.84423391520977, 4.575834468007088, 4.345217809081078, 4.157704904675484, 3.93939770758152, 3.7496538162231445, 3.516953930258751, 3.4133678525686264, 3.2086098194122314, 3.0838954746723175, 2.9566420018672943, 2.8560900017619133, 2.716971270740032, 2.604068197309971, 2.4768603444099426, 2.3883596509695053, 2.3185189217329025, 2.2625537738204002, 2.1551016345620155, 2.076768971979618, 2.036849670112133, 1.9597203433513641, 1.8623043149709702, 1.806538738310337, 1.7604981437325478, 1.6943395137786865, 1.6530911773443222, 1.6118239983916283, 1.5458917133510113, 1.4995136186480522, 1.4444870427250862, 1.423625398427248, 1.411593984812498, 1.3352023176848888, 1.3101713173091412, 1.2694657519459724, 1.2426272220909595, 1.210021659731865, 1.1801707074046135, 1.1458308696746826, 1.131271943449974, 1.0740512497723103, 1.0517990924417973, 1.0464249029755592, 1.0164893865585327, 0.9887154288589954, 0.9584138505160809, 0.9405674077570438, 0.9176358692348003, 0.884359709918499, 0.8853205665946007, 0.8623919300734997, 0.8524742387235165, 0.8378161750733852, 0.7923144809901714, 0.7916516363620758, 0.7831998821347952, 0.7490082290023565, 0.7404341120272875, 0.7224155161529779, 0.7057866454124451, 0.6958149876445532, 0.6799789778888226, 0.676454484462738, 0.6470527667552233, 0.6454463098198175, 0.6375243403017521, 0.6088510397821665, 0.6072777472436428]"
18,2,256,256,,0.004656019994997058,removal,0,0.28119980127387506,281,mean,GCNConv,10,6,200,cluster,100,nearest_neighbors,0.9022670791702592,0.8764664401564203,0.8680634920634921,0.8850336613153806,"[26.653534770011902, 26.65511918067932, 26.73513972759247, 26.46287226676941, 26.608035564422607, 26.48547887802124, 25.878130793571472, 25.660146594047546, 25.282992780208588, 23.527992486953735, 23.212656140327454, 21.925532519817352, 20.51011323928833, 19.24683916568756, 17.551952183246613, 16.132634818553925, 14.975272953510284, 13.555910885334015, 12.449671477079391, 11.144060224294662, 10.245018720626831, 9.45518845319748, 8.730031907558441, 8.0230353474617, 7.5755972266197205, 7.024141877889633, 6.4303136467933655, 6.117043107748032, 5.757458105683327, 5.324796870350838, 4.993644595146179, 4.717750161886215, 4.493228867650032, 4.269542768597603, 4.047498419880867, 3.809834763407707, 3.7087462693452835, 3.5226343870162964, 3.2814130932092667, 3.1289139091968536, 3.012451708316803, 2.9087774008512497, 2.812479168176651, 2.6365754455327988, 2.556292101740837, 2.458907961845398, 2.352457992732525, 2.313332788646221, 2.2142455726861954, 2.1048679128289223, 2.040120020508766, 1.9910283088684082, 1.8900258466601372, 1.8482736647129059, 1.7949621826410294, 1.728318378329277, 1.6681883409619331, 1.6351793557405472, 1.587371252477169, 1.5266493521630764, 1.4913140311837196, 1.436605341732502, 1.4057509824633598, 1.3757761865854263, 1.3080640211701393, 1.285206664353609, 1.260715052485466, 1.2493935152888298, 1.183568101376295, 1.167172010987997, 1.1384998932480812, 1.1183528937399387, 1.0856234468519688, 1.0464298501610756, 1.0292840376496315, 1.0014706812798977, 0.9675078131258488, 0.9502914659678936, 0.9270065873861313, 0.9104736782610416, 0.9001994468271732, 0.8719138503074646, 0.8371433727443218, 0.8204660341143608, 0.804082103073597, 0.7938424944877625, 0.7776108365505934, 0.7619800791144371, 0.7521080411970615, 0.7480360064655542, 0.7120857816189528, 0.7128567658364773, 0.6863935329020023, 0.6756899133324623, 0.6728517655283213, 0.6502977944910526, 0.6391198560595512, 0.6289457269012928, 0.601171737536788, 0.5999759752303362]"
