K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses
14,2,256,256,,0.006588794809351539,removal,0,0.22556096278059237,654,mean,GATConv,10,1,True,100,0.905259420804382,0.8764386823653922,0.8412698412698413,0.9146762391274333,"[12.548481225967407, 12.786211490631104, 12.878233313560486, 12.88130259513855, 12.425731301307678, 12.25413179397583, 12.005086183547974, 12.153090238571167, 11.80695903301239, 12.082857370376587, 11.425152063369751, 10.886801660060883, 10.813661873340607, 10.7903071641922, 10.149209380149841, 9.647524058818817, 9.237818717956543, 8.93894100189209, 8.197361826896667, 7.8225478529930115, 7.651386618614197, 6.941107511520386, 6.7751758098602295, 6.194831222295761, 5.893919408321381, 5.524969726800919, 5.232287675142288, 4.912033557891846, 4.698575377464294, 4.38929346203804, 4.140022814273834, 3.8940755426883698, 3.689272463321686, 3.5654044151306152, 3.450488179922104, 3.2550469636917114, 3.063521087169647, 2.9246433079242706, 2.8121129274368286, 2.673283115029335, 2.5511107444763184, 2.419200509786606, 2.361073300242424, 2.266199052333832, 2.1805604994297028, 2.10564424097538, 2.071311593055725, 1.9376615285873413, 1.8830596953630447, 1.820637360215187]"
14,2,256,256,,0.006588794809351539,removal,0,0.22556096278059237,114,mean,GATConv,10,1,True,100,0.9070345387229295,0.8788419591512988,0.8441904761904762,0.9164598842018197,"[12.779305934906006, 13.008639812469482, 13.210422396659851, 12.99858272075653, 12.611333847045898, 12.465577363967896, 12.287982106208801, 12.358724594116211, 12.131378412246704, 12.275694608688354, 11.59226655960083, 11.132416725158691, 11.009172141551971, 10.98508757352829, 10.320040822029114, 9.796565890312195, 9.41476422548294, 9.148448646068573, 8.383013904094696, 8.03109484910965, 7.8520073890686035, 7.102653622627258, 6.896880924701691, 6.330611288547516, 6.030233442783356, 5.671657741069794, 5.32635235786438, 5.010990619659424, 4.8202076852321625, 4.486198455095291, 4.220013678073883, 3.9664778411388397, 3.7578563392162323, 3.6412145793437958, 3.500270813703537, 3.2965908348560333, 3.1184169352054596, 2.9866412580013275, 2.85123673081398, 2.7154465913772583, 2.588624507188797, 2.4600760489702225, 2.4030018597841263, 2.3073803931474686, 2.2208174020051956, 2.1180732548236847, 2.096213147044182, 1.9697866439819336, 1.9012639373540878, 1.8506367951631546]"
14,2,256,256,,0.006588794809351539,removal,0,0.22556096278059237,25,mean,GATConv,10,1,True,100,0.9065780798295887,0.8779162248144221,0.841015873015873,0.9182032441425204,"[12.772204875946045, 13.006853580474854, 13.207363963127136, 12.99292504787445, 12.607950806617737, 12.457895755767822, 12.279851913452148, 12.351733088493347, 12.120004296302795, 12.266966700553894, 11.583435893058777, 11.120230197906494, 10.996884644031525, 10.973193168640137, 10.307828068733215, 9.783920645713806, 9.403227269649506, 9.13546895980835, 8.373903036117554, 8.019306302070618, 7.842226266860962, 7.091756522655487, 6.888777494430542, 6.3208776116371155, 6.021401822566986, 5.6622108817100525, 5.318977326154709, 5.001698285341263, 4.814080357551575, 4.480681777000427, 4.212625861167908, 3.960944354534149, 3.753966510295868, 3.636535555124283, 3.497039943933487, 3.293770343065262, 3.114213466644287, 2.9829728603363037, 2.8476843535900116, 2.7128633558750153, 2.586506336927414, 2.457239016890526, 2.400380253791809, 2.304540455341339, 2.2188175916671753, 2.1152473539114, 2.0943286269903183, 1.9681072384119034, 1.9004343301057816, 1.848500743508339]"
14,2,256,256,,0.006588794809351539,removal,0,0.22556096278059237,759,mean,GATConv,10,1,True,100,0.9067302327940356,0.878123136059381,0.8412698412698413,0.9183532021070141,"[12.77129328250885, 13.003892660140991, 13.205076813697815, 12.993104696273804, 12.605085372924805, 12.45318353176117, 12.276682376861572, 12.347729802131653, 12.121827960014343, 12.266960263252258, 11.585195183753967, 11.121766209602356, 10.993198573589325, 10.97196227312088, 10.307879865169525, 9.785745859146118, 9.406094014644623, 9.141013085842133, 8.377045452594757, 8.022769093513489, 7.843137621879578, 7.095434844493866, 6.891559302806854, 6.324096322059631, 6.023395657539368, 5.665784478187561, 5.321938782930374, 5.006331741809845, 4.816741704940796, 4.482798159122467, 4.215179532766342, 3.9627137780189514, 3.7559852600097656, 3.6383772492408752, 3.4988949596881866, 3.2948303818702698, 3.1154856085777283, 2.983305275440216, 2.848635882139206, 2.713949739933014, 2.5877912789583206, 2.45831835269928, 2.4012005627155304, 2.3056832551956177, 2.2191271036863327, 2.116389289498329, 2.094706490635872, 1.9688169360160828, 1.9008961617946625, 1.848770946264267]"
14,2,256,256,,0.006588794809351539,removal,0,0.22556096278059237,281,mean,GATConv,10,1,True,100,0.9065780798295887,0.8780778395552026,0.8422857142857143,0.9170468685192866,"[12.754106998443604, 12.9920893907547, 13.197468400001526, 12.974728465080261, 12.593464255332947, 12.438317894935608, 12.265841126441956, 12.3331778049469, 12.106286883354187, 12.256354689598083, 11.56093716621399, 11.105348765850067, 10.986425220966339, 10.96080356836319, 10.299969673156738, 9.77631813287735, 9.383579015731812, 9.125458836555481, 8.36482036113739, 8.005054891109467, 7.817027926445007, 7.077106595039368, 6.875531375408173, 6.308443784713745, 6.006437361240387, 5.6485008001327515, 5.309026896953583, 4.997966051101685, 4.802198052406311, 4.476441651582718, 4.208691090345383, 3.9572778046131134, 3.7434966266155243, 3.634737491607666, 3.4951857328414917, 3.2861835956573486, 3.106153577566147, 2.978359490633011, 2.844193935394287, 2.7090604454278946, 2.5836010426282883, 2.4535595029592514, 2.397388145327568, 2.3007246553897858, 2.21689036488533, 2.1114257127046585, 2.0914746820926666, 1.9649814069271088, 1.8973362147808075, 1.8445640802383423]"
