alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,model_type,sampling_mode,num_neighbors,pos_weight,batch_size,rate_pairs,reliable_mini_batchaccuracy,f1,recall,precision,losses,average_precision,roc_auc,fpr,tpr,roc_thresholds,precisions,recalls,pr_thresholds
0.5,17,1,128,64,,0,0.5,0.5,0.23916397215432553,654,mean,SAGEConv,1,5096,1,0.7910432621595578,0.7365728900255755,0.7314285714285714,0.7417900837089504,"[0.46366843581199646, 0.4449644982814789, 0.4415631592273712, 0.43963366746902466, 0.4384990334510803, 0.4377753734588623, 0.4372939169406891, 0.43696483969688416, 0.43672239780426025, 0.4365323483943939]",0.7154325571473713,0.834182551746139,"[0.00000000e+00 0.00000000e+00 8.44451951e-05 ... 9.97804425e-01
 9.97804425e-01 1.00000000e+00]","[0.00000000e+00 1.26984127e-04 1.26984127e-04 ... 9.99873016e-01
 1.00000000e+00 1.00000000e+00]",[       inf 0.99999046 0.9999869  ... 0.00423553 0.00417306 0.00152945],[0.39940153 0.39942179 0.39944205 ... 0.5        1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 1.26984127e-04
 1.26984127e-04 0.00000000e+00]",[0.00152945 0.00167037 0.00176856 ... 0.99998546 0.9999869  0.99999046]
