K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
4,2,16,2,,0.005,removal,0,0.3773852,654,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[4.509048819541931, 3.8782575726509094, 3.4937151670455933, 3.1349024772644043, 2.825627624988556, 2.538658946752548, 2.3050620555877686, 2.1162839233875275, 1.9806506931781769, 1.894481122493744, 1.838549941778183, 1.7846977561712265, 1.7430188059806824, 1.7193989604711533, 1.6842397600412369, 1.6551576405763626, 1.6390983760356903, 1.6169333457946777, 1.5938218832015991, 1.5758790373802185, 1.5597412288188934, 1.5357520133256912, 1.5226683020591736, 1.5030119866132736, 1.4826015681028366, 1.468551144003868, 1.4542850703001022, 1.4417270421981812, 1.4255970120429993, 1.4144716411828995, 1.4037662595510483, 1.3900000602006912, 1.3773988634347916, 1.368621051311493, 1.360923320055008, 1.3461637496948242, 1.3358965516090393, 1.3239840269088745, 1.3257082849740982, 1.3173628151416779, 1.2876914739608765, 1.2909390032291412, 1.2843000292778015, 1.2764179557561874, 1.275095283985138, 1.2621045112609863, 1.253157064318657, 1.247924730181694, 1.2449318170547485, 1.2420894354581833]",0.8906774827302111,0.787115883006294,0.8100076200152401,0.7654824771963514
4,2,16,2,,0.005,removal,0,0.3773852,114,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[4.5709468126297, 3.9937340021133423, 3.5345931351184845, 3.1457265615463257, 2.7800954282283783, 2.474804162979126, 2.2177972495555878, 2.0377431511878967, 1.9079274237155914, 1.8222907185554504, 1.7628508061170578, 1.7164452224969864, 1.6894138157367706, 1.6604560166597366, 1.6320052444934845, 1.6184719651937485, 1.6042057871818542, 1.5752171277999878, 1.558958426117897, 1.5512398779392242, 1.5347720235586166, 1.5227614790201187, 1.5089156478643417, 1.4908573478460312, 1.488586962223053, 1.4795804768800735, 1.4569992423057556, 1.454039677977562, 1.4341026693582535, 1.4273500442504883, 1.418561890721321, 1.4062762260437012, 1.396413192152977, 1.3987997174263, 1.3823830783367157, 1.3677718937397003, 1.3585172444581985, 1.3650648146867752, 1.3474839180707932, 1.3443320393562317, 1.3331428617238998, 1.327193409204483, 1.3271173536777496, 1.317425861954689, 1.3111572116613388, 1.2977004796266556, 1.2988147884607315, 1.2981978207826614, 1.2818247973918915, 1.2741435915231705]",0.8885860954433107,0.7831771090281203,0.8064516129032258,0.7612083433229442
4,2,16,2,,0.005,removal,0,0.3773852,25,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[4.544989466667175, 3.9749823212623596, 3.6896674633026123, 3.4451763033866882, 3.19381907582283, 2.97559317946434, 2.6997918784618378, 2.4028012454509735, 2.183668613433838, 2.040976256132126, 1.9452321529388428, 1.8728843331336975, 1.8255164325237274, 1.7871760427951813, 1.7583227902650833, 1.721579372882843, 1.6975533664226532, 1.671122893691063, 1.6586354076862335, 1.6420058012008667, 1.6129522025585175, 1.585561066865921, 1.5825902074575424, 1.5615385174751282, 1.5505288988351822, 1.5300370007753372, 1.5190752446651459, 1.5123682022094727, 1.4906454533338547, 1.4865509420633316, 1.4686038196086884, 1.4579059183597565, 1.443445846438408, 1.4280997961759567, 1.4237945228815079, 1.4140560179948807, 1.4036203026771545, 1.3846918791532516, 1.382691115140915, 1.3789620399475098, 1.3690140843391418, 1.350318431854248, 1.3440787345170975, 1.3372258692979813, 1.3259220272302628, 1.3281127661466599, 1.3222995400428772, 1.3139853328466415, 1.3190304338932037, 1.299726977944374]",0.8906141073578807,0.7867029164607019,0.8084836169672339,0.7660649819494585
4,2,16,2,,0.005,removal,0,0.3773852,759,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[4.653540015220642, 4.2498586773872375, 3.8806918263435364, 3.5085948705673218, 3.1286886036396027, 2.756301611661911, 2.4421015977859497, 2.190579444169998, 2.0163321793079376, 1.8928363025188446, 1.8114154040813446, 1.7473739683628082, 1.7030407190322876, 1.6709589064121246, 1.6417407989501953, 1.6079423278570175, 1.5875368118286133, 1.5560058504343033, 1.5424268990755081, 1.5237345844507217, 1.5056720525026321, 1.4857478737831116, 1.4802576154470444, 1.459367796778679, 1.444016933441162, 1.424377366900444, 1.4173465222120285, 1.4096894264221191, 1.400504007935524, 1.3941872119903564, 1.3767328709363937, 1.3652470856904984, 1.3523282706737518, 1.3490466475486755, 1.3349536061286926, 1.3379143327474594, 1.3246967047452927, 1.3119191825389862, 1.3014274835586548, 1.2986045330762863, 1.2868428230285645, 1.283047929406166, 1.277677372097969, 1.2674138247966766, 1.264132022857666, 1.2479193806648254, 1.2461481988430023, 1.2348973155021667, 1.2335463464260101, 1.2212192714214325]",0.8870650865073832,0.7795645719940624,0.8003556007112014,0.7598263805160357
4,2,16,2,,0.005,removal,0,0.3773852,281,mean,GATConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[4.553970217704773, 3.9045286178588867, 3.4778647124767303, 3.098304331302643, 2.756480783224106, 2.4739288091659546, 2.229616016149521, 2.0465384125709534, 1.9146637320518494, 1.8232472836971283, 1.7666492760181427, 1.7245825976133347, 1.6792632043361664, 1.6551242917776108, 1.6385053545236588, 1.6232050657272339, 1.6046947091817856, 1.5820927023887634, 1.573678806424141, 1.5650802105665207, 1.5487731993198395, 1.5416105836629868, 1.5294276177883148, 1.5130379796028137, 1.507422149181366, 1.497340276837349, 1.4910824596881866, 1.4793409705162048, 1.4721434116363525, 1.4606955796480179, 1.4496734291315079, 1.435160979628563, 1.4432577043771744, 1.435584932565689, 1.4217564314603806, 1.4085755795240402, 1.4111619591712952, 1.397959142923355, 1.38531132042408, 1.3865756541490555, 1.3857031166553497, 1.3672306388616562, 1.367427259683609, 1.3628063946962357, 1.353944554924965, 1.3488099426031113, 1.3453634530305862, 1.3383933007717133, 1.3280256539583206, 1.322404995560646]",0.883389314912225,0.7740112994350282,0.8003556007112014,0.749346016646849
