K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,2,16,2,,0.005,removal,0,0.22206428826631608,654,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[7.038254141807556, 5.52883517742157, 4.522319823503494, 4.325207203626633, 4.172688603401184, 4.0369981825351715, 3.9338047206401825, 3.8409422039985657, 3.7719792127609253, 3.714120000600815, 3.6708990037441254, 3.629865199327469, 3.5991654694080353, 3.5802610218524933, 3.5643942654132843, 3.540465623140335, 3.531281501054764, 3.518606126308441, 3.5070070326328278, 3.4896880090236664, 3.4861861765384674, 3.468794047832489, 3.4634135961532593, 3.459466725587845, 3.449036806821823, 3.436346083879471, 3.425383538007736, 3.42638298869133, 3.4146122336387634, 3.3966590464115143, 3.389387786388397, 3.3778612315654755, 3.3822415471076965, 3.3684629797935486, 3.3486132323741913, 3.3473260402679443, 3.334399253129959, 3.325980097055435, 3.3115911185741425, 3.3074399530887604, 3.2938546538352966, 3.287340074777603, 3.2657744586467743, 3.2689732909202576, 3.257425606250763, 3.247318923473358, 3.2293814718723297, 3.2270618975162506, 3.2150790095329285, 3.2071414589881897]",0.7400253516025834,0.16772946859903382,0.09185185185185185,0.9644444444444444
1,2,16,2,,0.005,removal,0,0.22206428826631608,114,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[6.205808043479919, 5.140395939350128, 4.47310996055603, 4.245460003614426, 4.068226993083954, 3.932284116744995, 3.8177269101142883, 3.7468083202838898, 3.688677579164505, 3.6409890353679657, 3.604674905538559, 3.5790135264396667, 3.5591302812099457, 3.5382138788700104, 3.5310122966766357, 3.5097963511943817, 3.495512753725052, 3.504365861415863, 3.4833499789237976, 3.4790859520435333, 3.4702155590057373, 3.470619171857834, 3.4614281356334686, 3.4598026871681213, 3.4490529894828796, 3.4456632137298584, 3.4427103996276855, 3.4366367757320404, 3.4271047115325928, 3.4269483983516693, 3.4075977504253387, 3.4072179198265076, 3.401158094406128, 3.397798389196396, 3.3924474716186523, 3.3896247148513794, 3.375359535217285, 3.3664631247520447, 3.363487035036087, 3.360986113548279, 3.341561019420624, 3.3346341252326965, 3.3323141038417816, 3.326191246509552, 3.3165870904922485, 3.2997210025787354, 3.2905477583408356, 3.2833794951438904, 3.277859151363373, 3.269766479730606]",0.7393613810587312,0.16511987625676722,0.09037037037037036,0.9552572706935123
1,2,16,2,,0.005,removal,0,0.22206428826631608,25,mean,MLP,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[6.563413679599762, 5.3000979125499725, 4.5181593000888824, 4.295304000377655, 4.1472086906433105, 3.998716026544571, 3.905727207660675, 3.8101305961608887, 3.748294770717621, 3.6943981647491455, 3.6570535600185394, 3.618269383907318, 3.579961210489273, 3.5574295818805695, 3.528789609670639, 3.5084342658519745, 3.4779615998268127, 3.4465872645378113, 3.436711996793747, 3.408857524394989, 3.399563282728195, 3.3744108080863953, 3.359091103076935, 3.3424268662929535, 3.3213758766651154, 3.307372123003006, 3.2945359349250793, 3.2773503363132477, 3.269523411989212, 3.252119719982147, 3.24374121427536, 3.2288497984409332, 3.220973461866379, 3.2093916535377502, 3.1999866366386414, 3.1782015562057495, 3.1748828887939453, 3.1667819023132324, 3.1463692784309387, 3.14089173078537, 3.131430596113205, 3.118738979101181, 3.1123455464839935, 3.1055790781974792, 3.0961786210536957, 3.0754381716251373, 3.0719222128391266, 3.0615199506282806, 3.0540632605552673, 3.04426047205925]",0.7440091748656968,0.19723641870149536,0.11026455026455026,0.9336917562724014
