K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,2,16,1,,0.005,removal,0,1.0001779369620845,654,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5003905296325684, 0.4976433515548706, 0.49511998891830444, 0.4924970865249634, 0.4897608160972595, 0.4869191646575928, 0.4839945137500763, 0.4809776246547699, 0.4778507947921753, 0.4746469557285309, 0.47139185667037964, 0.46803903579711914, 0.46455925703048706, 0.4609701633453369, 0.45728039741516113, 0.45349061489105225, 0.44963350892066956, 0.44569194316864014, 0.44170278310775757, 0.43767330050468445, 0.43357735872268677, 0.4293859899044037, 0.425163596868515, 0.42097848653793335, 0.41679608821868896, 0.41255173087120056, 0.4082501530647278, 0.4039592444896698, 0.3996654748916626, 0.3954193890094757, 0.3911746144294739, 0.38691189885139465, 0.38269758224487305, 0.37850654125213623, 0.3743465840816498, 0.37025079131126404, 0.3661789298057556, 0.36216577887535095, 0.358209490776062, 0.35429203510284424, 0.3504578471183777, 0.3466779589653015, 0.34293901920318604, 0.33926647901535034, 0.33566582202911377, 0.33210259675979614, 0.3285931646823883, 0.325122207403183, 0.32172146439552307, 0.31833478808403015]",0.7741301730147665,0.21566901408450703,0.12446024892049784,0.8072487644151565
1,2,16,1,,0.005,removal,0,1.0001779369620845,114,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.5006232857704163, 0.4956406056880951, 0.4913422465324402, 0.48719802498817444, 0.48296403884887695, 0.4786131680011749, 0.4741363227367401, 0.46953701972961426, 0.46480822563171387, 0.4599571228027344, 0.4550038278102875, 0.44995301961898804, 0.4448479413986206, 0.4397396147251129, 0.4346376657485962, 0.42952051758766174, 0.42432716488838196, 0.41907697916030884, 0.41381174325942993, 0.40859562158584595, 0.4034852981567383, 0.39848217368125916, 0.3935389518737793, 0.38862431049346924, 0.38375136256217957, 0.3789609968662262, 0.3742677569389343, 0.3696861267089844, 0.36523333191871643, 0.36089837551116943, 0.3566862940788269, 0.3525911569595337, 0.34861844778060913, 0.344754159450531, 0.3410145342350006, 0.33739614486694336, 0.3339204788208008, 0.3305724859237671, 0.32735034823417664, 0.32426947355270386, 0.32129865884780884, 0.31843915581703186, 0.3156725764274597, 0.312996506690979, 0.31036362051963806, 0.3078157901763916, 0.30532288551330566, 0.30287081003189087, 0.3004750907421112, 0.2981113791465759]",0.7580962038151974,0.07779656921961826,0.040894081788163575,0.7970297029702971
1,2,16,1,,0.005,removal,0,1.0001779369620845,25,mean,GCNConv,2048,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4993138015270233, 0.49491530656814575, 0.49041548371315, 0.48563605546951294, 0.480642706155777, 0.47548896074295044, 0.47019198536872864, 0.464791476726532, 0.45929980278015137, 0.4537017047405243, 0.44800031185150146, 0.4422195553779602, 0.43643853068351746, 0.4306725859642029, 0.4248979091644287, 0.41913139820098877, 0.4134005606174469, 0.40772461891174316, 0.40212738513946533, 0.39658504724502563, 0.391137957572937, 0.38579022884368896, 0.3805733025074005, 0.3755123019218445, 0.3706001937389374, 0.3658187985420227, 0.3611862063407898, 0.3567166328430176, 0.35239937901496887, 0.3482483923435211, 0.34425777196884155, 0.3404191732406616, 0.33676278591156006, 0.33324289321899414, 0.3298913240432739, 0.32669350504875183, 0.3236164152622223, 0.320674329996109, 0.31785693764686584, 0.3151455521583557, 0.3125401735305786, 0.31001776456832886, 0.30759763717651367, 0.30524757504463196, 0.3029429316520691, 0.30068522691726685, 0.2984733283519745, 0.2962867021560669, 0.29411131143569946, 0.2919429540634155]",0.7539768046137271,0.03910891089108911,0.020066040132080264,0.7669902912621359
