K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses
7,2,256,128,,0.008829513908150824,removal,0,0.1547555723039831,654,mean,GCNConv,512,13,50,cluster,75,100,nearest_neighbors,0.9635928553115118,0.9191036840106342,0.9033221351250467,0.9354464630846541,"[6.718816637992859, 6.63093900680542, 6.79373836517334, 7.236871957778931, 6.309733033180237, 6.083952069282532, 6.3177478313446045, 5.940567374229431, 6.171622276306152, 5.664578855037689, 6.359972178936005, 5.395463585853577, 5.627741038799286, 5.674124479293823, 5.184055924415588, 4.91490238904953, 4.852225661277771, 4.927357614040375, 4.65999299287796, 4.714134871959686, 4.47966742515564, 4.382106423377991, 4.484309375286102, 4.347880065441132, 3.9277607798576355, 3.818953216075897, 3.7795374989509583, 3.6136621236801147, 3.8038021326065063, 3.6593194007873535, 3.263122856616974, 3.543006658554077, 3.12250292301178, 3.150885224342346, 3.1239938735961914, 2.913060277700424, 2.7673760652542114, 2.714934855699539, 2.6506328880786896, 2.547817140817642, 2.589148849248886, 2.4956388771533966, 2.46749085187912, 2.339403808116913, 2.3382982909679413, 2.232763886451721, 2.1503700017929077, 2.208555042743683, 2.049521714448929, 2.0418500304222107, 2.0502027571201324, 1.9465264678001404, 1.892035961151123, 1.7729031443595886, 1.8429648876190186, 1.7833739519119263, 1.6511659920215607, 1.6524139940738678, 1.6177965700626373, 1.530057817697525, 1.6544925272464752, 1.5683994889259338, 1.4510080516338348, 1.3936262130737305, 1.3593293130397797, 1.3656693249940872, 1.3421935886144638, 1.2799955904483795, 1.315112128853798, 1.2824379205703735, 1.2550713419914246, 1.2597006261348724, 1.170740857720375, 1.1788913160562515, 1.1554879993200302, 1.1404636204242706, 1.1291127800941467, 1.0572099834680557, 1.1057863533496857, 1.0228042006492615, 0.9946207702159882, 1.0124426782131195, 1.0253150463104248, 0.9287251532077789, 0.9270495772361755, 0.9305261820554733, 0.9303538650274277, 0.8866798132658005, 0.877113476395607, 0.8841938227415085, 0.9069557934999466, 0.8063011765480042, 0.8333143591880798, 0.8225879967212677, 0.8079071044921875, 0.81563800573349, 0.7897814214229584, 0.7306237518787384, 0.7458770871162415, 0.7369510233402252]"
7,2,256,128,,0.008829513908150824,removal,0,0.1547555723039831,114,mean,GCNConv,512,13,50,cluster,75,100,nearest_neighbors,0.9634219297495941,0.9183829138062548,0.898842851810377,0.9387914230019493,"[6.986084461212158, 7.7406851053237915, 7.0189807415008545, 6.942510604858398, 6.606844902038574, 6.091726899147034, 6.472938776016235, 5.872959852218628, 6.417812347412109, 6.063377320766449, 5.622402667999268, 6.378052353858948, 5.3879371881484985, 5.642909407615662, 5.642997682094574, 5.284060597419739, 5.15387088060379, 4.829477667808533, 4.795028030872345, 4.965836942195892, 4.564927101135254, 4.394902229309082, 4.411839783191681, 4.51724910736084, 4.337202787399292, 4.24351704120636, 4.231040179729462, 3.874282956123352, 3.6459487676620483, 3.6417751908302307, 3.82824444770813, 3.703365683555603, 3.4154446125030518, 3.1960073709487915, 3.237372875213623, 3.1206403374671936, 2.909970998764038, 3.0709235668182373, 2.9635371565818787, 2.809574633836746, 2.616829812526703, 2.7567430436611176, 2.4510127902030945, 2.4112790524959564, 2.5533650517463684, 2.30160915851593, 2.3815995156764984, 2.279660642147064, 2.236857980489731, 2.2158650755882263, 2.0900481045246124, 2.0676839351654053, 1.89976304769516, 1.8825547695159912, 1.9533408880233765, 1.761288046836853, 1.8200708329677582, 1.7509653270244598, 1.6360608041286469, 1.620022177696228, 1.6282241940498352, 1.5818798542022705, 1.4937637448310852, 1.573242723941803, 1.6208732426166534, 1.5214095413684845, 1.4593738615512848, 1.398611307144165, 1.394584760069847, 1.342296987771988, 1.3711638152599335, 1.2483113706111908, 1.220299482345581, 1.2491973489522934, 1.2447211891412735, 1.1485949009656906, 1.12840037047863, 1.1885402649641037, 1.086100459098816, 1.05633445084095, 1.0956485718488693, 1.0344004034996033, 1.0287182480096817, 1.0263825505971909, 1.0139333009719849, 0.9494565278291702, 0.9404088258743286, 0.9376422166824341, 0.9376673698425293, 0.9365676641464233, 0.8926568776369095, 0.859346941113472, 0.8667253851890564, 0.8923078328371048, 0.8897517770528793, 0.8051944971084595, 0.7932664453983307, 0.7850477695465088, 0.8071678727865219, 0.7587510496377945]"
7,2,256,128,,0.008829513908150824,removal,0,0.1547555723039831,25,mean,GCNConv,512,13,50,cluster,75,100,nearest_neighbors,0.9623963763780874,0.9164768413059985,0.9010824934677119,0.9324063344920819,"[6.570674657821655, 6.802636027336121, 6.9338449239730835, 6.434136152267456, 6.400347352027893, 6.539700984954834, 6.017440736293793, 5.743277966976166, 6.516707181930542, 5.7974119782447815, 5.4678855538368225, 5.546854555606842, 5.867536425590515, 5.004207372665405, 4.997389197349548, 4.916512608528137, 5.313494801521301, 4.841185927391052, 4.567257106304169, 4.603567719459534, 4.382182776927948, 4.181432604789734, 4.031228482723236, 4.03455263376236, 4.077750623226166, 3.983750343322754, 4.04191529750824, 3.645082175731659, 3.4328476190567017, 3.362744927406311, 3.221001386642456, 3.128575623035431, 3.0999242067337036, 3.098279356956482, 2.9478966295719147, 3.0446168780326843, 2.8032263815402985, 2.6850087642669678, 2.6840821504592896, 2.5718994140625, 2.5264258682727814, 2.567720264196396, 2.569632589817047, 2.5955948531627655, 2.298496812582016, 2.2419672310352325, 2.2462503910064697, 2.1483209431171417, 2.0719031989574432, 1.984174132347107, 1.9535475671291351, 1.9079907834529877, 1.8357948958873749, 1.788595825433731, 1.718968778848648, 1.6869852244853973, 1.7673728466033936, 1.6671172082424164, 1.565312922000885, 1.5931917428970337, 1.5355512201786041, 1.5975189805030823, 1.447681486606598, 1.47742560505867, 1.379425972700119, 1.3861951977014542, 1.3099331855773926, 1.3700883388519287, 1.3512791097164154, 1.2964761406183243, 1.266260027885437, 1.2427583187818527, 1.1867267787456512, 1.1871292442083359, 1.138400450348854, 1.1262413263320923, 1.0850749164819717, 1.0459083169698715, 1.063480257987976, 1.0510304421186447, 0.9891786128282547, 1.0038731396198273, 0.9967321902513504, 0.9311629235744476, 0.9264243692159653, 0.9378435909748077, 0.886437177658081, 0.919446587562561, 0.8694628924131393, 0.8896123468875885, 0.8672794550657272, 0.8317673802375793, 0.8486401289701462, 0.8005822151899338, 0.7789057642221451, 0.7650755345821381, 0.7696830481290817, 0.7607743591070175, 0.7886785715818405, 0.7250045388936996]"
7,2,256,128,,0.008829513908150824,removal,0,0.1547555723039831,759,mean,GCNConv,512,13,50,cluster,75,100,nearest_neighbors,0.9631655414067174,0.9171950048030739,0.8910041060097051,0.944972288202692,"[6.702882289886475, 6.426599442958832, 6.138613760471344, 5.998575508594513, 5.904658794403076, 5.943632125854492, 5.680792033672333, 6.4400246143341064, 5.868812680244446, 5.791267216205597, 5.593333184719086, 5.125985383987427, 5.508491635322571, 5.094504714012146, 4.953546822071075, 5.025034070014954, 4.6088747382164, 5.029405474662781, 4.430364370346069, 4.214222848415375, 4.175411939620972, 4.1351505517959595, 3.9026530385017395, 4.062964618206024, 4.160309433937073, 3.719381332397461, 3.6898598670959473, 3.524496078491211, 3.8634791374206543, 3.4014806151390076, 3.128563702106476, 3.0280646681785583, 2.9850468039512634, 2.904333710670471, 2.9114091992378235, 2.9370003938674927, 2.854565382003784, 2.8150607645511627, 2.457406312227249, 2.699556529521942, 2.29709729552269, 2.3274160027503967, 2.3527519404888153, 2.2031114995479584, 2.1511321663856506, 2.079566150903702, 2.1058357059955597, 1.9789922833442688, 1.9299730360507965, 1.9453376233577728, 2.0060918629169464, 1.7902946472167969, 1.7035981714725494, 1.7642177045345306, 1.6708294451236725, 1.6185833513736725, 1.6512626111507416, 1.603074699640274, 1.5586948543787003, 1.46597221493721, 1.446523755788803, 1.425733894109726, 1.312368392944336, 1.3479665964841843, 1.4353038519620895, 1.2984265238046646, 1.3173380941152573, 1.2106831967830658, 1.2421699166297913, 1.1695932447910309, 1.2052239179611206, 1.231299951672554, 1.1500736325979233, 1.1180739849805832, 1.0993994027376175, 1.1211786419153214, 1.0838963836431503, 0.9878294765949249, 1.1139851957559586, 0.9723543524742126, 0.9837513864040375, 0.9517466276884079, 1.0130737274885178, 0.9085944890975952, 0.882043719291687, 0.8880503922700882, 0.872843399643898, 0.8180214017629623, 0.8644886314868927, 0.8421543538570404, 0.7805570513010025, 0.7816081792116165, 0.8116447180509567, 0.7511900812387466, 0.7996529191732407, 0.7735530883073807, 0.7599256187677383, 0.7544595971703529, 0.7650907039642334, 0.7301040887832642]"
7,2,256,128,,0.008829513908150824,removal,0,0.1547555723039831,281,mean,GCNConv,512,13,50,cluster,75,100,nearest_neighbors,0.9623963763780874,0.9161585365853658,0.8973497573721538,0.9357726741922927,"[6.853020966053009, 6.51161652803421, 6.144014954566956, 6.664518117904663, 6.235089898109436, 6.214018404483795, 6.553751647472382, 5.466314673423767, 6.11258202791214, 5.822704493999481, 5.694561779499054, 5.424546480178833, 5.496025502681732, 5.101584494113922, 4.801568031311035, 4.821875810623169, 4.671302437782288, 4.584759056568146, 4.958240270614624, 4.404448330402374, 5.036641001701355, 4.426460385322571, 4.165589451789856, 3.8450876474380493, 3.78072053194046, 3.817617356777191, 3.629721701145172, 3.94097763299942, 3.383359909057617, 3.618817448616028, 3.2805551290512085, 3.1559752225875854, 3.3432127833366394, 3.157322973012924, 3.1671006083488464, 2.9366509318351746, 2.8696158826351166, 2.6288412511348724, 2.973459929227829, 2.4879443645477295, 2.447421610355377, 2.3785996437072754, 2.695790708065033, 2.2399166226387024, 2.185197740793228, 2.25101837515831, 2.050044149160385, 2.005756586790085, 2.115402787923813, 2.0011244118213654, 1.957290530204773, 1.9886330962181091, 1.9240298867225647, 1.8572389483451843, 1.8453864455223083, 1.713833898305893, 1.685715526342392, 1.5700089931488037, 1.5612682402133942, 1.4868508130311966, 1.4723798334598541, 1.493062824010849, 1.4313958883285522, 1.4328065663576126, 1.4555408954620361, 1.321485996246338, 1.3471072763204575, 1.2949468195438385, 1.2411962449550629, 1.3607887774705887, 1.2822597175836563, 1.1672713160514832, 1.2399883717298508, 1.198322594165802, 1.1755801886320114, 1.1703995913267136, 1.0924553722143173, 1.0499303489923477, 1.0204327553510666, 1.0557546615600586, 1.0477286130189896, 1.0071077197790146, 0.9967758804559708, 1.0197400003671646, 0.9732907116413116, 0.8966248780488968, 0.9291141778230667, 0.8647992163896561, 0.8483991622924805, 0.8362571150064468, 0.883733868598938, 0.8031834214925766, 0.7869190722703934, 0.7781682312488556, 0.779833197593689, 0.802642822265625, 0.8031943216919899, 0.7696269452571869, 0.7175554931163788, 0.7493209540843964]"
