dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
citeseer,SAR,two_nnif,GATConv,1,0.5141231164629941,0.027295575788775468
citeseer,SAR,two_nnif,GCNConv,1,0.5524726226958513,0.015996635344403414
citeseer,SAR,nnpu,MLP,1,0.6596538746200967,0.013844701658478082
citeseer,SAR,nnpu,GATConv,1,0.7046264266986041,0.010633558287196674
citeseer,SAR,nnpu,GCNConv,1,0.700642273,0.00360919
citeseer,SAR,imbnnpu,MLP,1,0.4851589479346832,0.027247523881372544
citeseer,SAR,imbnnpu,GATConv,1,0.6861081907740783,0.029288086
citeseer,SAR,imbnnpu,GCNConv,1,0.6886372840118119,0.015254033037701155
citeseer,SAR,ours,GATConv,1,0.7056573369527817,0.009238489
citeseer,SAR,NNIF,MLP,1.25,0.5009696336166011,0.031782848515156836
citeseer,SAR,two_nnif,MLP,1.25,0.5242622906404116,0.025324631970474333
citeseer,SAR,two_nnif,GATConv,1.25,0.5637347288027771,0.033296521
citeseer,SAR,two_nnif,GCNConv,1.25,0.5939718157796283,0.021228250446890796
citeseer,SAR,nnpu,MLP,1.25,0.6241773284198032,0.026854229
citeseer,SAR,nnpu,GATConv,1.25,0.6612116915362432,0.016692360825695824
citeseer,SAR,nnpu,GCNConv,1.25,0.6546599901150035,0.019238013685857244
citeseer,SAR,imbnnpu,MLP,1.25,0.485270407,0.025010925
citeseer,SAR,imbnnpu,GATConv,1.25,0.686723032,0.030077193525245287
citeseer,SAR,imbnnpu,GCNConv,1.25,0.6893039630530317,0.015166590945944448
citeseer,SAR,ours,GATConv,1.25,0.7319577181766118,0.012881777183047647
citeseer,SAR,NNIF,MLP,1.5,0.5177004078024677,0.046132539920145044
citeseer,SAR,two_nnif,MLP,1.5,0.5494216984826736,0.034665825251201675
citeseer,SAR,two_nnif,GATConv,1.5,0.5880502531655182,0.045313363
citeseer,SAR,two_nnif,GCNConv,1.5,0.615197014,0.030278562444343498
citeseer,SAR,nnpu,MLP,1.5,0.5992518555121313,0.008990015
citeseer,SAR,nnpu,GATConv,1.5,0.6277991083240652,0.014875092852716352
citeseer,SAR,nnpu,GCNConv,1.5,0.5983591063418322,0.006307852
citeseer,SAR,imbnnpu,MLP,1.5,0.4851589479346832,0.027247523881372544
citeseer,SAR,imbnnpu,GATConv,1.5,0.6873794175817678,0.030002204109125036
