K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,1,16,1,,0.005,removal,0,0.01691716729570985,654,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4259757325053215, 0.3632339760661125, 0.330307034154733, 0.31048762301603955, 0.2953203022480011, 0.28270429372787476, 0.2723710387945175, 0.26303882027665776, 0.2539960059026877, 0.24439794197678566, 0.2350381761789322, 0.22600551322102547, 0.21941394731402397, 0.20945129667719206, 0.2007028398414453, 0.1928780327240626, 0.18470366671681404, 0.178917129834493, 0.1725610283513864, 0.16662383327881494, 0.1628970168530941, 0.15783487384517988, 0.15411985541383424, 0.14968530585368475, 0.14690696075558662, 0.1437737668553988, 0.14105077212055525, 0.13764731958508492, 0.13569432000319162, 0.13314707080523172, 0.13123735350867113, 0.12906313563386598, 0.127776018033425, 0.1264323964715004, 0.12525768081347147, 0.12337021715939045, 0.12173494882881641, 0.12009947001934052, 0.11919671607514222, 0.11834813716510932, 0.11694351397454739, 0.11595406072835128, 0.11542698244253795, 0.11382830701768398, 0.11297210368017356, 0.11215974390506744, 0.11098489165306091, 0.1095419880002737, 0.109141381457448, 0.10907289013266563]",0.899101417863271,0.0026779736665922785,0.0026396832380114386,0.002717391304347826
1,1,16,1,,0.005,removal,0,0.01691716729570985,114,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.43975288420915604, 0.3666265408198039, 0.3279370342691739, 0.3046944588422775, 0.2881550242503484, 0.27558506031831104, 0.2658577834566434, 0.2556892583767573, 0.24754592155416807, 0.24010867749651274, 0.2334763507048289, 0.22530601670344672, 0.21783271680275598, 0.21099089831113815, 0.20401408647497496, 0.19667437424262366, 0.18949164698521295, 0.18234727655847868, 0.1770681900282701, 0.17090617989500365, 0.1665170801182588, 0.16147961219151816, 0.15751477082570395, 0.15411128476262093, 0.15164437144994736, 0.14758292585611343, 0.14510436976949373, 0.1422941548128923, 0.13937866439421973, 0.1371852532029152, 0.13458788891633353, 0.13226454394559065, 0.13042540475726128, 0.12874042056500912, 0.12707365614672503, 0.12558217781285444, 0.12400571505228679, 0.1224117036908865, 0.12073925323784351, 0.11995125127335389, 0.11858710025747617, 0.11799965302149455, 0.11665204043189685, 0.11475605828066666, 0.11456342414021492, 0.11340118944644928, 0.11270302596191566, 0.11142872708539169, 0.11068690878649552, 0.10951569738487403]",0.898830488575815,0.003114571746384872,0.0030796304443466782,0.0031503150315031502
1,1,16,1,,0.005,removal,0,0.01691716729570985,25,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4501212661465009, 0.37527930239836377, 0.3341906989614169, 0.30820556233326596, 0.29044942557811737, 0.2785543203353882, 0.26722543810804683, 0.25742145503560704, 0.24879839271306992, 0.2401564766963323, 0.23240052784482637, 0.2250779333213965, 0.21730372682213783, 0.21007403234640756, 0.20232918485999107, 0.19465237110853195, 0.18783438329895338, 0.17972766483823457, 0.17343147844076157, 0.1684518481294314, 0.16385970885554949, 0.1593883497019609, 0.15571987008055052, 0.15222923209269842, 0.1490049734711647, 0.14534501731395721, 0.143002367268006, 0.14048494398593903, 0.13801605378588042, 0.13552522286772728, 0.1335945725440979, 0.13095732033252716, 0.12968488658467928, 0.12805842546125254, 0.12639054904381433, 0.12436967467268308, 0.12342773005366325, 0.12203690161307652, 0.12103775205711524, 0.11979953820506732, 0.11805489597221215, 0.11740339919924736, 0.11642248183488846, 0.11535266973078251, 0.11414515289167564, 0.1136289294809103, 0.11300775843362014, 0.11138097941875458, 0.11121130051712196, 0.11011099567015965]",0.8983789397633885,0.0035421740092982067,0.0035195776506819184,0.0035650623885918
