K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision
1,1,16,1,,0.005,removal,0,0.011278111530473233,654,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.38598068058490753, 0.30825769156217575, 0.27532609303792316, 0.2574196594456832, 0.24819047624866167, 0.23829047133525214, 0.23437146345774332, 0.22993052502473196, 0.2255288101732731, 0.22077038635810217, 0.2172390545407931, 0.2143863911430041, 0.21194012587269148, 0.20987016086777052, 0.20680291329820952, 0.20474741607904434, 0.20410103971759477, 0.20129324619968733, 0.20017340779304504, 0.19817480196555456, 0.19798525671164194, 0.1955916186173757, 0.195723886291186, 0.19379696995019913, 0.19285057112574577, 0.1908089742064476, 0.1903032585978508, 0.18993320812781653, 0.18967921286821365, 0.187722468127807, 0.1878412738442421, 0.1872747763991356, 0.18630696584781012, 0.18454188232620558, 0.18446940804521242, 0.18434781084458032, 0.1830065275231997, 0.18337059393525124, 0.18331005796790123, 0.1833944134414196, 0.18212284023563066, 0.18072137236595154, 0.18061853076020876, 0.17886521543065706, 0.17986424763997397, 0.17892069245378175, 0.17888576040665308, 0.17857011531790098, 0.17724540084600449, 0.1774567204217116]",0.7803892350763117,0.14667953329239408,0.36779586449626045,0.091606399298707
1,1,16,1,,0.005,removal,0,0.011278111530473233,114,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.42660824706157047, 0.32730428626139957, 0.2903127322594325, 0.27160801241795224, 0.2567422166466713, 0.24604217211405435, 0.23927335068583488, 0.23394719635446867, 0.23112876589099565, 0.22710990781585375, 0.22280080740650496, 0.21931197990973791, 0.21702866007884344, 0.21514570464690527, 0.2119539181391398, 0.20980249345302582, 0.20898796121279398, 0.20626413077116013, 0.20485109835863113, 0.20458837101856867, 0.20137643193205199, 0.20136763155460358, 0.19913688177863756, 0.19775654127200445, 0.19672963147362074, 0.19656661773721376, 0.1965815102060636, 0.1937487336496512, 0.19312085956335068, 0.19233882675568262, 0.19226152077317238, 0.19131016607085863, 0.19059241438905397, 0.18961076314250627, 0.18925208722551665, 0.18793047219514847, 0.18674818302194277, 0.18598729992906252, 0.18475459267695746, 0.18582572042942047, 0.18555264671643576, 0.18352032949527106, 0.18327841411034265, 0.18277196461955705, 0.18347319463888803, 0.18209907660881677, 0.18020128831267357, 0.18014828115701675, 0.17972123374541601, 0.17926111941536269]",0.7764833378488215,0.14389484607402284,0.3660360756709195,0.08954902593908083
1,1,16,1,,0.005,removal,0,0.011278111530473233,25,mean,GCNConv,4096,10,50,sage,50,nearest_neighbors,nan,0.0,0.0,0.0,"[0.4287466381986936, 0.3279534950852394, 0.2920622378587723, 0.27607811242341995, 0.2630694458882014, 0.2537533404926459, 0.24435032779971758, 0.23731408516565958, 0.2324634256462256, 0.22708177318175635, 0.22515341018637022, 0.22111292059222856, 0.21734523649017015, 0.2143902045985063, 0.21294445296128592, 0.21087259923418364, 0.20830375577012697, 0.20611868922909102, 0.20337888225913048, 0.20305532465378442, 0.2011278917392095, 0.20040089264512062, 0.19973225767413774, 0.19836828236778578, 0.197907492518425, 0.19541824609041214, 0.1952643319964409, 0.19478041678667068, 0.1924238825837771, 0.1919086699684461, 0.1914334719379743, 0.18988865613937378, 0.1897362917661667, 0.18888792768120766, 0.18641260266304016, 0.18686823671062788, 0.18676750113566717, 0.1849501704176267, 0.18517162278294563, 0.18538972487052283, 0.18473095198472342, 0.18508527055382729, 0.18399646505713463, 0.18249923239151636, 0.18249883751074472, 0.18215303868055344, 0.18163003399968147, 0.18088504175345102, 0.17935017868876457, 0.18016193434596062]",0.7763704506457147,0.14324020413459043,0.36427628684557856,0.08914728682170543
